,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
0,Sun Jan 26 01:05:29 +0000 2020,1221237689682464775,1221237689682464775,"@CRobinson_GEM @NACADA @AcademicChatter @NACADA_Region_5 We advise all freshman in @UAlbanyAdvising. Our @UAlbany Advisors advise students in all majors, using a developmental, holistic approach. Typically, freshman declare into their major at the end of the year, with the exception of those working towards restricted majors.",False,"[57, 327]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210890742383657e+18,1221089074238365699,1693694444.0,1693694444,CRobinson_GEM,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CRobinson_GEM', 'name': 'Christine Robinson, Ph.D.', 'id': 1693694444, 'id_str': '1693694444', 'indices': [0, 14]}, {'screen_name': 'NACADA', 'name': 'NACADA', 'id': 18081390, 'id_str': '18081390', 'indices': [15, 22]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [23, 39]}, {'screen_name': 'NACADA_Region_5', 'name': 'NACADA Region 5', 'id': 3502415835, 'id_str': '3502415835', 'indices': [40, 56]}, {'screen_name': 'UAlbanyAdvising', 'name': 'Academic Support Center', 'id': 2798565349, 'id_str': '2798565349', 'indices': [83, 99]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [105, 113]}]",[],en,recent,390294223,390294223,Michael Geroux,MGerouxAdvisor,"Clifton Park, NY","Assistant Director, Academic Support Center @UAlbanyAdvising. #NACADA Region 1. Father of two. Loving Husband, love rock climbing, hiking & @LFC",,[],False,442,864,10,Thu Oct 13 19:18:23 +0000 2011,12960,,,False,False,6020,,False,False,False,000000,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1108743585132961794/RWQECDYJ_normal.jpg,https://pbs.twimg.com/profile_images/1108743585132961794/RWQECDYJ_normal.jpg,https://pbs.twimg.com/profile_banners/390294223/1398270072,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 00:11:03 +0000 2020,1220861602683072514,1220861602683072514,Getting tearful as I am finalizing a student’s nomination for the Goldwater Scholarship.... it is wonderful and such a true pleasure to work with gifted early career researchers.  I love my job 😊 #humblebrag @ualbany students are the best!,False,"[0, 239]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'humblebrag', 'indices': [196, 207]}]",[],"[{'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [208, 216]}]",[],en,recent,1106574754193047552,1106574754193047552,Melissa M. Ertl,MelissaErtl,,PhD candidate @ualbany📍NY|counseling psychologist-in-training studying how identity is related to health+ health risks📊📝Proud #UWBadgerAlum 🦡& 5x marathoner,https://t.co/6okJBvXtlz,[],False,157,421,2,Fri Mar 15 15:15:55 +0000 2019,1461,,,False,False,522,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215667589331980295/4TQcdf81_normal.jpg,https://pbs.twimg.com/profile_images/1215667589331980295/4TQcdf81_normal.jpg,https://pbs.twimg.com/profile_banners/1106574754193047552/1570763941,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/6okJBvXtlz', 'expanded_url': 'https://www.researchgate.net/profile/Melissa_Ertl', 'display_url': 'researchgate.net/profile/Meliss…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 22:37:45 +0000 2020,1220838122298191873,1220838122298191873,@ryanhanrahan @christinatalamo @WNYT @UAlbanyDAES @ualbany @UAlbanyNews I remember that!! '05? 😬,False,"[72, 96]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208198261275812e+18,1220819826127581185,21619806.0,21619806,ryanhanrahan,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ryanhanrahan', 'name': 'Ryan Hanrahan', 'id': 21619806, 'id_str': '21619806', 'indices': [0, 13]}, {'screen_name': 'christinatalamo', 'name': 'Christina Talamo', 'id': 1136430827439632385, 'id_str': '1136430827439632385', 'indices': [14, 30]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [31, 36]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [37, 49]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [50, 58]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [59, 71]}]",[],en,recent,36049286,36049286,Paul Caiano,PaulCaiano,"Albany, NY",Meteorologist at @WNYT NewsChannel 13 and for @WAMCRadio. BS ‘93 Atmospheric Science/Meteorology @UAlbany,https://t.co/hH59bLw0s3,[],False,3472,219,62,Tue Apr 28 12:14:59 +0000 2009,1839,,,False,False,15465,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/959786213/paul-caiano-twitter_normal.jpg,https://pbs.twimg.com/profile_images/959786213/paul-caiano-twitter_normal.jpg,https://pbs.twimg.com/profile_banners/36049286/1566142061,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/hH59bLw0s3', 'expanded_url': 'http://wnyt.com/article/stories/s98122.shtml', 'display_url': 'wnyt.com/article/storie…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fri Jan 24 22:27:49 +0000 2020,1220835622488825861,1220835622488825861,@MikeSliferWX @PaulCaiano @WNYT @UAlbanyDAES @ualbany @UAlbanyNews Thank you Mike!!,False,"[67, 83]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208087771648287e+18,1220808777164828672,3319634517.0,3319634517,MikeSliferWX,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MikeSliferWX', 'name': 'Mike Slifer', 'id': 3319634517, 'id_str': '3319634517', 'indices': [0, 13]}, {'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [14, 25]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [26, 31]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [32, 44]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [45, 53]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [54, 66]}]",[],en,recent,1136430827439632385,1136430827439632385,Christina Talamo,christinatalamo,,WNYT Albany NY | Former Intern @NBCNewYork Current Intern @NWS University at Albany 2020 | Atmospheric Science | Broadcasting | Mathematics | LI NY 🇺🇸🌦⚡️❄️🌈,,[],False,316,190,5,Thu Jun 06 00:33:17 +0000 2019,797,,,True,False,94,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_banners/1136430827439632385/1578803352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 22:24:23 +0000 2020,1220834759842111488,1220834759842111488,@ericfisher @PaulCaiano @WNYT @UAlbanyDAES @ualbany @UAlbanyNews Thank you!!,False,"[65, 76]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208222105726198e+18,1220822210572619778,168912732.0,168912732,ericfisher,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ericfisher', 'name': 'Eric Fisher', 'id': 168912732, 'id_str': '168912732', 'indices': [0, 11]}, {'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [12, 23]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [24, 29]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [30, 42]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [43, 51]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [52, 64]}]",[],en,recent,1136430827439632385,1136430827439632385,Christina Talamo,christinatalamo,,WNYT Albany NY | Former Intern @NBCNewYork Current Intern @NWS University at Albany 2020 | Atmospheric Science | Broadcasting | Mathematics | LI NY 🇺🇸🌦⚡️❄️🌈,,[],False,316,190,5,Thu Jun 06 00:33:17 +0000 2019,797,,,True,False,94,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_banners/1136430827439632385/1578803352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri Jan 24 22:24:07 +0000 2020,1220834692250898432,1220834692250898432,@ryanhanrahan @PaulCaiano @WNYT @UAlbanyDAES @ualbany @UAlbanyNews Omg no way that’s too funny!! Thank you so much!!!!😊,False,"[67, 119]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208198261275812e+18,1220819826127581185,21619806.0,21619806,ryanhanrahan,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ryanhanrahan', 'name': 'Ryan Hanrahan', 'id': 21619806, 'id_str': '21619806', 'indices': [0, 13]}, {'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [14, 25]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [26, 31]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [32, 44]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [45, 53]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [54, 66]}]",[],en,recent,1136430827439632385,1136430827439632385,Christina Talamo,christinatalamo,,WNYT Albany NY | Former Intern @NBCNewYork Current Intern @NWS University at Albany 2020 | Atmospheric Science | Broadcasting | Mathematics | LI NY 🇺🇸🌦⚡️❄️🌈,,[],False,316,190,5,Thu Jun 06 00:33:17 +0000 2019,797,,,True,False,94,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_banners/1136430827439632385/1578803352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 20:46:37 +0000 2020,1220810157828997122,1220810157828997122,@PaulCaiano @finch_wx @WNYT @ualbany Also congrats! Great to see all the UAlbany alum,False,"[37, 85]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220442045116035e+18,1220442045116035073,36049286.0,36049286,PaulCaiano,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [0, 11]}, {'screen_name': 'finch_wx', 'name': 'Allison Finch', 'id': 1211785878902734848, 'id_str': '1211785878902734848', 'indices': [12, 21]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [22, 27]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [28, 36]}]",[],en,recent,3319634517,3319634517,Mike Slifer,MikeSliferWX,"Portland/Bangor, ME",Meteorologist at @newscentermaine | Previous WVNS | @UAlbany alum | @subaru_usa Ambassador | CT Native | Tweets are my own,https://t.co/4QmB2FbWIq,[],False,1609,547,36,Thu Jun 11 21:18:58 +0000 2015,7354,,,False,True,10030,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1214009113182646273/2JfV2LXx_normal.jpg,https://pbs.twimg.com/profile_images/1214009113182646273/2JfV2LXx_normal.jpg,https://pbs.twimg.com/profile_banners/3319634517/1576705626,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/4QmB2FbWIq', 'expanded_url': 'http://www.newscentermaine.com', 'display_url': 'newscentermaine.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 20:41:08 +0000 2020,1220808777164828672,1220808777164828672,"@PaulCaiano @christinatalamo @WNYT @UAlbanyDAES @ualbany @UAlbanyNews This is awesome, congrats!",False,"[70, 96]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207670150923428e+18,1220767015092342785,36049286.0,36049286,PaulCaiano,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [0, 11]}, {'screen_name': 'christinatalamo', 'name': 'Christina Talamo', 'id': 1136430827439632385, 'id_str': '1136430827439632385', 'indices': [12, 28]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [29, 34]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [35, 47]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [48, 56]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [57, 69]}]",[],en,recent,3319634517,3319634517,Mike Slifer,MikeSliferWX,"Portland/Bangor, ME",Meteorologist at @newscentermaine | Previous WVNS | @UAlbany alum | @subaru_usa Ambassador | CT Native | Tweets are my own,https://t.co/4QmB2FbWIq,[],False,1609,547,36,Thu Jun 11 21:18:58 +0000 2015,7354,,,False,True,10030,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1214009113182646273/2JfV2LXx_normal.jpg,https://pbs.twimg.com/profile_images/1214009113182646273/2JfV2LXx_normal.jpg,https://pbs.twimg.com/profile_banners/3319634517/1576705626,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/4QmB2FbWIq', 'expanded_url': 'http://www.newscentermaine.com', 'display_url': 'newscentermaine.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 20:27:24 +0000 2020,1220805322132029440,1220805322132029440,@KarenTararache @PaulCaiano @WNYT @UAlbanyDAES @ualbany @UAlbanyNews Awh thank you!!!,False,"[69, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207683674575872e+18,1220768367457587202,413489645.0,413489645,KarenTararache,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'KarenTararache', 'name': 'Karen Tararache', 'id': 413489645, 'id_str': '413489645', 'indices': [0, 15]}, {'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [16, 27]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [28, 33]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [34, 46]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [47, 55]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [56, 68]}]",[],en,recent,1136430827439632385,1136430827439632385,Christina Talamo,christinatalamo,,WNYT Albany NY | Former Intern @NBCNewYork Current Intern @NWS University at Albany 2020 | Atmospheric Science | Broadcasting | Mathematics | LI NY 🇺🇸🌦⚡️❄️🌈,,[],False,316,190,5,Thu Jun 06 00:33:17 +0000 2019,797,,,True,False,94,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_banners/1136430827439632385/1578803352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fri Jan 24 20:26:40 +0000 2020,1220805134466408449,1220805134466408449,@PaulCaiano @WNYT @UAlbanyDAES @ualbany @UAlbanyNews Awh thank you Paul! Learning from the best of the best!!! 😊,False,"[53, 112]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207670150923428e+18,1220767015092342785,36049286.0,36049286,PaulCaiano,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'PaulCaiano', 'name': 'Paul Caiano', 'id': 36049286, 'id_str': '36049286', 'indices': [0, 11]}, {'screen_name': 'WNYT', 'name': 'WNYT NewsChannel 13', 'id': 19731326, 'id_str': '19731326', 'indices': [12, 17]}, {'screen_name': 'UAlbanyDAES', 'name': 'UAlbany ATM/ENV Sci', 'id': 3493639937, 'id_str': '3493639937', 'indices': [18, 30]}, {'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [31, 39]}, {'screen_name': 'UAlbanyNews', 'name': 'UAlbany News', 'id': 78705127, 'id_str': '78705127', 'indices': [40, 52]}]",[],en,recent,1136430827439632385,1136430827439632385,Christina Talamo,christinatalamo,,WNYT Albany NY | Former Intern @NBCNewYork Current Intern @NWS University at Albany 2020 | Atmospheric Science | Broadcasting | Mathematics | LI NY 🇺🇸🌦⚡️❄️🌈,,[],False,316,190,5,Thu Jun 06 00:33:17 +0000 2019,797,,,True,False,94,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_images/1181388414471548929/DUDiVBpu_normal.jpg,https://pbs.twimg.com/profile_banners/1136430827439632385/1578803352,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 03:09:19 +0000 2020,1220544079123156992,1220544079123156992,Loved meeting the @ualbany students participating in @RockefellerColl Washington Semester program and seeing our @ualbanyalumni family gather. Thank you to @kretheme and the amazing college staff for empowering student success. Truly inspiring,False,"[0, 243]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,5,False,False,en,[],[],"[{'screen_name': 'ualbany', 'name': 'University at Albany', 'id': 19980619, 'id_str': '19980619', 'indices': [18, 26]}, {'screen_name': 'RockefellerColl', 'name': 'Rockefeller College', 'id': 112885453, 'id_str': '112885453', 'indices': [53, 69]}, {'screen_name': 'ualbanyalumni', 'name': 'UAlbany Alumni', 'id': 273971882, 'id_str': '273971882', 'indices': [113, 127]}, {'screen_name': 'kretheme', 'name': 'R. Karl Rethemeyer', 'id': 1470945240, 'id_str': '1470945240', 'indices': [156, 165]}]",[],en,recent,158474460,158474460,PW Brusoe,PWBrusoe,"Washington, D.C.","Political Scientist, Albany Sports Fan, History Buff. Woodley Park Aficionado.  ESG Enthusiast.   Views are my own and RTs are not endorsements.",,[],False,994,1729,29,Tue Jun 22 20:11:12 +0000 2010,13605,,,True,False,13563,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1185586367423799298/Hy0krLYr_normal.jpg,https://pbs.twimg.com/profile_images/1185586367423799298/Hy0krLYr_normal.jpg,https://pbs.twimg.com/profile_banners/158474460/1570399004,D02B55,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
