,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
1,Fri Jan 24 13:33:44 +0000 2020,1220701219460722688,1220701219460722688,"@SLapointeChem @ruhrunibochum @ViktoriaGessner It's a very random fact that came up yesterday over coffee with @DZone_7, who splits his time between us and @ruhrunibochum...(in the #DeviGroup)",False,"[47, 192]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206997763599237e+18,1220699776359923713,3375954244.0,3375954244,SLapointeChem,,,,,False,0,1,False,False,en,"[{'text': 'DeviGroup', 'indices': [181, 191]}]",[],"[{'screen_name': 'SLapointeChem', 'name': 'Sébastien Lapointe 🇨🇦🏳️\u200d🌈⚗️', 'id': 3375954244, 'id_str': '3375954244', 'indices': [0, 14]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [15, 29]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [30, 46]}, {'screen_name': 'DZone_7', 'name': 'David Zanders', 'id': 1056902094773477376, 'id_str': '1056902094773477376', 'indices': [111, 119]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [156, 170]}]",[],en,recent,562283413,562283413,Scientist Tiger,sean_t_barry,"Ottawa, ON, Canada","Chemist, nanoscientist, and all around good guy. And humble, so very humble. My opinions are your opinions. (he/him) #ALDep",https://t.co/1cks7pBC2p,"[{'url': 'https://t.co/1cks7pBC2p', 'expanded_url': 'https://carleton.ca/barrylab/', 'display_url': 'carleton.ca/barrylab/', 'indices': [0, 23]}]",[],False,1417,919,25,Tue Apr 24 19:33:10 +0000 2012,9990,,,True,False,14471,,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/698138778905538561/DWqHYd1V_normal.jpg,https://pbs.twimg.com/profile_images/698138778905538561/DWqHYd1V_normal.jpg,https://pbs.twimg.com/profile_banners/562283413/1509116000,29527A,C0DEED,DDEEF6,333333,False,False,False,False,False,False,False,none,38d5974e82ed1a6c,https://api.twitter.com/1.1/geo/id/38d5974e82ed1a6c.json,city,Ottawa,"Ottawa, Ontario",CA,Canada,[],Polygon,"[[[-76.353876, 44.961937], [-75.246407, 44.961937], [-75.246407, 45.5356446], [-76.353876, 45.5356446]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fri Jan 24 13:28:00 +0000 2020,1220699776359923713,1220699776359923713,@sean_t_barry @ruhrunibochum @ViktoriaGessner Wow I didn't know!,False,"[46, 64]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206982778149847e+18,1220698277814984706,562283413.0,562283413,sean_t_barry,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'sean_t_barry', 'name': 'Scientist Tiger', 'id': 562283413, 'id_str': '562283413', 'indices': [0, 13]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [14, 28]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [29, 45]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fri Jan 24 13:22:03 +0000 2020,1220698277814984706,1220698277814984706,"@SLapointeChem @ruhrunibochum @ViktoriaGessner Apparently, they have an ongoing run of ""Starlight Express"" in Bochum. So, congratulations!",False,"[47, 138]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203038851111526e+18,1220303885111152640,3375954244.0,3375954244,SLapointeChem,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SLapointeChem', 'name': 'Sébastien Lapointe 🇨🇦🏳️\u200d🌈⚗️', 'id': 3375954244, 'id_str': '3375954244', 'indices': [0, 14]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [15, 29]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [30, 46]}]",[],en,recent,562283413,562283413,Scientist Tiger,sean_t_barry,"Ottawa, ON, Canada","Chemist, nanoscientist, and all around good guy. And humble, so very humble. My opinions are your opinions. (he/him) #ALDep",https://t.co/1cks7pBC2p,"[{'url': 'https://t.co/1cks7pBC2p', 'expanded_url': 'https://carleton.ca/barrylab/', 'display_url': 'carleton.ca/barrylab/', 'indices': [0, 23]}]",[],False,1417,919,25,Tue Apr 24 19:33:10 +0000 2012,9990,,,True,False,14471,,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/698138778905538561/DWqHYd1V_normal.jpg,https://pbs.twimg.com/profile_images/698138778905538561/DWqHYd1V_normal.jpg,https://pbs.twimg.com/profile_banners/562283413/1509116000,29527A,C0DEED,DDEEF6,333333,False,False,False,False,False,False,False,none,38d5974e82ed1a6c,https://api.twitter.com/1.1/geo/id/38d5974e82ed1a6c.json,city,Ottawa,"Ottawa, Ontario",CA,Canada,[],Polygon,"[[[-76.353876, 44.961937], [-75.246407, 44.961937], [-75.246407, 45.5356446], [-76.353876, 45.5356446]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fri Jan 24 13:20:45 +0000 2020,1220697948352155648,1220697948352155648,@tlukko @ruhrunibochum @ViktoriaGessner Thank you!,False,"[40, 50]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206368512932577e+18,1220636851293257728,1140466441.0,1140466441,tlukko,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'tlukko', 'name': 'Emilia Palo', 'id': 1140466441, 'id_str': '1140466441', 'indices': [0, 7]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [8, 22]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [23, 39]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fri Jan 24 09:17:58 +0000 2020,1220636851293257728,1220636851293257728,@SLapointeChem @ruhrunibochum @ViktoriaGessner Congrats!,False,"[47, 56]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203038851111526e+18,1220303885111152640,3375954244.0,3375954244,SLapointeChem,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SLapointeChem', 'name': 'Sébastien Lapointe 🇨🇦🏳️\u200d🌈⚗️', 'id': 3375954244, 'id_str': '3375954244', 'indices': [0, 14]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [15, 29]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [30, 46]}]",[],en,recent,1140466441,1140466441,Emilia Palo,tlukko,FI. Turku.,"PhD (chemistry), postdoc @UniTurku // ENG+FIN // Chemistry, Nanoparticles, Luminescence // Science. Music. Books. Work-Life imbalance.",,,[],False,127,338,3,Fri Feb 01 18:51:57 +0000 2013,2021,,,False,False,668,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1164530664085086208/eFeIc-2J_normal.jpg,https://pbs.twimg.com/profile_images/1164530664085086208/eFeIc-2J_normal.jpg,https://pbs.twimg.com/profile_banners/1140466441/1523687772,1B95E0,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fri Jan 24 09:08:41 +0000 2020,1220634515585945601,1220634515585945601,@bruin_bas @ruhrunibochum @ViktoriaGessner Thank you! I really appreciate it coming from you!,False,"[43, 93]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206333433493996e+18,1220633343349399552,2235212561.0,2235212561,bruin_bas,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'bruin_bas', 'name': 'Bas de Bruin', 'id': 2235212561, 'id_str': '2235212561', 'indices': [0, 10]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [11, 25]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [26, 42]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 05:44:11 +0000 2020,1220583053484949504,1220583053484949504,@rawssk0be @ruhrunibochum @ViktoriaGessner Thank you!,False,"[43, 53]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.22058199782076e+18,1220581997820760064,460820067.0,460820067,rawssk0be,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'rawssk0be', 'name': 'Ross', 'id': 460820067, 'id_str': '460820067', 'indices': [0, 10]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [11, 25]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [26, 42]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fri Jan 24 05:43:58 +0000 2020,1220582998254342146,1220582998254342146,@D_Kunz1 @ruhrunibochum @ViktoriaGessner Thank you! I can't wait to start!,False,"[41, 74]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205813527409172e+18,1220581352740917253,9.790342443569357e+17,979034244356935681,D_Kunz1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'D_Kunz1', 'name': 'Doris Kunz', 'id': 979034244356935681, 'id_str': '979034244356935681', 'indices': [0, 8]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [9, 23]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [24, 40]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 05:40:00 +0000 2020,1220581997820760064,1220581997820760064,@SLapointeChem @ruhrunibochum @ViktoriaGessner Congrats!,False,"[47, 56]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203038851111526e+18,1220303885111152640,3375954244.0,3375954244,SLapointeChem,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SLapointeChem', 'name': 'Sébastien Lapointe 🇨🇦🏳️\u200d🌈⚗️', 'id': 3375954244, 'id_str': '3375954244', 'indices': [0, 14]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [15, 29]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [30, 46]}]",[],en,recent,460820067,460820067,Ross,rawssk0be,"Nashville, TN","Organometallics PhD student at Vanderbilt University using mechanochemistry to make main-group compounds, and some DFT! | BSc McGill 🇨🇦 but I'm 🇺🇸 | he/him",,,[],False,608,2531,2,Wed Jan 11 04:45:31 +0000 2012,12761,,,False,False,2484,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1747318099/393849_10151137609620258_539450257_22686951_1008254595_n_normal.jpg,https://pbs.twimg.com/profile_images/1747318099/393849_10151137609620258_539450257_22686951_1008254595_n_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 01:31:10 +0000 2020,1220519379978178560,1220519379978178560,@reggiemills28 @ruhrunibochum @ViktoriaGessner Thank you!,False,"[47, 57]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205186766145987e+18,1220518676614598659,1.1061626128055337e+18,1106162612805533696,reggiemills28,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'reggiemills28', 'name': 'Reggie Mills', 'id': 1106162612805533696, 'id_str': '1106162612805533696', 'indices': [0, 14]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [15, 29]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [30, 46]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Thu Jan 23 23:43:04 +0000 2020,1220492173604347904,1220492173604347904,@thechemdr @ruhrunibochum @ViktoriaGessner Thank you!!,False,"[43, 54]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204914576995164e+18,1220491457699516416,323394144.0,323394144,thechemdr,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'thechemdr', 'name': 'Paul Gray', 'id': 323394144, 'id_str': '323394144', 'indices': [0, 10]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [11, 25]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [26, 42]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Thu Jan 23 23:02:31 +0000 2020,1220481967285665793,1220481967285665793,@ChemistItsthe @ruhrunibochum @ViktoriaGessner Wow! Thanks! Now I'm even more excited!,False,"[47, 86]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204105307851203e+18,1220410530785120258,1.097092481517269e+18,1097092481517268992,ChemistItsthe,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ChemistItsthe', 'name': 'ItstheChemist', 'id': 1097092481517268992, 'id_str': '1097092481517268992', 'indices': [0, 14]}, {'screen_name': 'ruhrunibochum', 'name': 'Ruhr-Universität Bochum', 'id': 47900955, 'id_str': '47900955', 'indices': [15, 29]}, {'screen_name': 'ViktoriaGessner', 'name': 'Viktoria Gessner (The Gessner Group)', 'id': 969308089445953536, 'id_str': '969308089445953536', 'indices': [30, 46]}]",[],en,recent,3375954244,3375954244,Sébastien Lapointe 🇨🇦🏳️‍🌈⚗️,SLapointeChem,"Onna-son, Okinawa",Loves reactive species & small molecule activation! @OISTedu @Khusnutdinovau. Former D. Zargarian student at UdeM | he/him | Pincer Mafia! Secretly 🐲🐉🐲,https://t.co/KxKOheVpiO,"[{'url': 'https://t.co/KxKOheVpiO', 'expanded_url': 'http://groups.oist.jp/cccu/', 'display_url': 'groups.oist.jp/cccu/', 'indices': [0, 23]}]",[],False,676,967,11,Tue Jul 14 15:28:58 +0000 2015,3552,,,True,False,3430,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_images/1158911358303268864/eLYRUZlk_normal.jpg,https://pbs.twimg.com/profile_banners/3375954244/1561726676,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
