,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,retweeted_status.user.profile_banner_url
3,Sat Jan 25 10:20:51 +0000 2020,1221015062866997250,1221015062866997250,"@keskma @AaltoUniversity @AaltoASH @AaltoENG @AaltoWAT @Niemela_Ilkka Marko, is there any progress? Any advance with the strategy? 😊",False,"[70, 132]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2151870099643228e+18,1215187009964322816,460507279.0,460507279,keskma,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'keskma', 'name': 'Marko Keskinen', 'id': 460507279, 'id_str': '460507279', 'indices': [0, 7]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [8, 24]}, {'screen_name': 'AaltoASH', 'name': 'Aalto Sustainability Hub', 'id': 1082977217221664769, 'id_str': '1082977217221664769', 'indices': [25, 34]}, {'screen_name': 'AaltoENG', 'name': 'Aalto ENG', 'id': 854684924883939329, 'id_str': '854684924883939329', 'indices': [35, 44]}, {'screen_name': 'AaltoWAT', 'name': 'Water & Environment', 'id': 3308195578, 'id_str': '3308195578', 'indices': [45, 54]}, {'screen_name': 'Niemela_Ilkka', 'name': 'Ilkka Niemelä', 'id': 2732052133, 'id_str': '2732052133', 'indices': [55, 69]}]",[],en,recent,1238518495,1238518495,Erja Ämmälahti,Erlahti,"Helsinki, Suomi","#research, #tenuretrack , #impact - issues important to me @AaltoUniversity Long term interest also in #Innovation #sustainability #bioeconomy. Views are mine.",https://t.co/zlXYhJ6vLM,[],False,293,166,33,Sun Mar 03 10:10:53 +0000 2013,2076,,,False,False,889,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/770272818042920960/2xtbshUZ_normal.jpg,https://pbs.twimg.com/profile_images/770272818042920960/2xtbshUZ_normal.jpg,94D487,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1238518495/1439566975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/zlXYhJ6vLM', 'expanded_url': 'https://www.linkedin.com/in/erjaammalahti/', 'display_url': 'linkedin.com/in/erjaammalah…', 'indices': [0, 23]}]",
8,Fri Jan 24 12:22:14 +0000 2020,1220683226043293696,1220683226043293696,RT @EliseHodson: Thx @AaltoUniversity alumna Dr Katja Battarbee &amp; @AaltoXPlatform for great discussion placing #designresearch at intersect…,False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,"[{'text': 'designresearch', 'indices': [115, 130]}]",[],"[{'screen_name': 'EliseHodson', 'name': 'Elise Hodson', 'id': 757762394, 'id_str': '757762394', 'indices': [3, 15]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [21, 37]}, {'screen_name': 'AaltoXPlatform', 'name': 'Aalto University Experience Platform', 'id': 1087296188758540289, 'id_str': '1087296188758540289', 'indices': [70, 85]}]",[],en,recent,1197465064753782784,1197465064753782784,Aalto Design Research,aalto_design,"Espoo, Finland",News about research @AaltoDPTDesign @AaltoArts @AaltoUniversity,https://t.co/0boweIhmw0,[],False,207,298,4,Thu Nov 21 10:41:48 +0000 2019,1,,,False,False,58,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1197492800264245248/Mi7DQgE__normal.png,https://pbs.twimg.com/profile_images/1197492800264245248/Mi7DQgE__normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1197465064753782784/1574338948,Fri Jan 24 11:18:07 +0000 2020,1.2206670894527652e+18,1220667089452765185,"Thx @AaltoUniversity alumna Dr Katja Battarbee &amp; @AaltoXPlatform for great discussion placing #designresearch at intersection of qualitative &amp; quantitative methods, and looking at role of analytics in understanding 'behaviour at scale,' based on her work @ideo @Intuit @Apple",False,"[0, 283]","[{'text': 'designresearch', 'indices': [98, 113]}]",[],"[{'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [4, 20]}, {'screen_name': 'AaltoXPlatform', 'name': 'Aalto University Experience Platform', 'id': 1087296188758540289, 'id_str': '1087296188758540289', 'indices': [53, 68]}, {'screen_name': 'ideo', 'name': 'IDEO', 'id': 23462787, 'id_str': '23462787', 'indices': [263, 268]}, {'screen_name': 'Intuit', 'name': 'Intuit', 'id': 1125071, 'id_str': '1125071', 'indices': [269, 276]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [277, 283]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,757762394.0,757762394,Elise Hodson,EliseHodson,Finland,"design curator, educator & now...post-doc in the Department of Design, Aalto University",,,[],False,275.0,438.0,11.0,Tue Aug 14 19:42:14 +0000 2012,332.0,,,True,False,410.0,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/2504823024/76167_10150090704716276_8387042_n_normal.jpg,https://pbs.twimg.com/profile_images/2504823024/76167_10150090704716276_8387042_n_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,"[{'url': 'https://t.co/0boweIhmw0', 'expanded_url': 'https://designresearch.aalto.fi', 'display_url': 'designresearch.aalto.fi', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/757762394/1570103492
9,Fri Jan 24 11:18:07 +0000 2020,1220667089452765185,1220667089452765185,"Thx @AaltoUniversity alumna Dr Katja Battarbee &amp; @AaltoXPlatform for great discussion placing #designresearch at intersection of qualitative &amp; quantitative methods, and looking at role of analytics in understanding 'behaviour at scale,' based on her work @ideo @Intuit @Apple",False,"[0, 283]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,2,False,False,en,"[{'text': 'designresearch', 'indices': [98, 113]}]",[],"[{'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [4, 20]}, {'screen_name': 'AaltoXPlatform', 'name': 'Aalto University Experience Platform', 'id': 1087296188758540289, 'id_str': '1087296188758540289', 'indices': [53, 68]}, {'screen_name': 'ideo', 'name': 'IDEO', 'id': 23462787, 'id_str': '23462787', 'indices': [263, 268]}, {'screen_name': 'Intuit', 'name': 'Intuit', 'id': 1125071, 'id_str': '1125071', 'indices': [269, 276]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [277, 283]}]",[],en,recent,757762394,757762394,Elise Hodson,EliseHodson,Finland,"design curator, educator & now...post-doc in the Department of Design, Aalto University",,[],False,275,438,11,Tue Aug 14 19:42:14 +0000 2012,332,,,True,False,410,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/2504823024/76167_10150090704716276_8387042_n_normal.jpg,https://pbs.twimg.com/profile_images/2504823024/76167_10150090704716276_8387042_n_normal.jpg,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/757762394/1570103492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Thu Jan 23 17:34:22 +0000 2020,1220399385219076096,1220399385219076096,@teemu_roos @FCAI_fi @helsinkiuni @AaltoUniversity @VTTFinland Cool... Now I do not feel like a slacker... I have a work-life balance :D,False,"[63, 136]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199519391542723e+18,1219951939154272256,7.755888201757819e+17,775588820175781888,teemu_roos,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [0, 11]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [12, 20]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [21, 33]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [34, 50]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [51, 62]}]",[],en,recent,3136979926,3136979926,Machine Moralities,MachineMorality,"Helsinki, Finland","We study moral psychology of robotics and AI. Currently associated with University of Helsinki, Faculty of Arts, Dept. of Digital Humanities (CogSci unit)",https://t.co/gJOILKHVV1,[],False,480,245,18,Sun Apr 05 13:40:10 +0000 2015,2393,,,False,False,4692,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/922168230940160000/vMgfMNkf_normal.jpg,https://pbs.twimg.com/profile_images/922168230940160000/vMgfMNkf_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3136979926/1428347100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/gJOILKHVV1', 'expanded_url': 'http://www.moim.fi', 'display_url': 'moim.fi', 'indices': [0, 23]}]",
15,Thu Jan 23 11:10:20 +0000 2020,1220302742884884480,1220302742884884480,"@Devourlick @teemu_roos @helsinkiuni @FCAI_fi @AaltoUniversity @VTTFinland Sir, I feel your pain! I hate to drive and I'm brazilian!!! So I know what's the feeling of get stuck in traffic (that is my description of hell). Even a bad pub transp system is better than none!!!",False,"[75, 273]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2203010577142456e+18,1220301057714245632,18481908.0,18481908,Devourlick,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Devourlick', 'name': 'Darian Vorlick', 'id': 18481908, 'id_str': '18481908', 'indices': [0, 11]}, {'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [12, 23]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [24, 36]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [37, 45]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [46, 62]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [63, 74]}]",[],en,recent,3505261576,3505261576,Plinio Casarotto,p_casarotto,"Helsinki, Finland","Pharmacologist, neuroscientist and #preprint enthusiast @helsinkiuni.",,[],False,102,67,0,Mon Aug 31 20:16:39 +0000 2015,363,,,True,False,613,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,https://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3505261576/1441117160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thu Jan 23 09:58:18 +0000 2020,1220284613672820737,1220284613672820737,"@drussilahg @teemu_roos @helsinkiuni @FCAI_fi @AaltoUniversity @VTTFinland Keep in mind the criticism is to the transport system speed, for that Madrid. Great train system. Munich too. We need more trains and speedy trams. I ❤️ Helsinki, it’s a great place, no problem with flex hr or life/work, but there are things to improve.",False,"[75, 328]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202812510950973e+18,1220281251095097344,2665510827.0,2665510827,drussilahg,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'drussilahg', 'name': 'Drussila Hollanda-Grönberg', 'id': 2665510827, 'id_str': '2665510827', 'indices': [0, 11]}, {'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [12, 23]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [24, 36]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [37, 45]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [46, 62]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [63, 74]}]",[],en,recent,3505261576,3505261576,Plinio Casarotto,p_casarotto,"Helsinki, Finland","Pharmacologist, neuroscientist and #preprint enthusiast @helsinkiuni.",,[],False,102,67,0,Mon Aug 31 20:16:39 +0000 2015,363,,,True,False,613,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,https://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3505261576/1441117160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thu Jan 23 09:37:40 +0000 2020,1220279421204156416,1220279421204156416,@drussilahg @teemu_roos @helsinkiuni @FCAI_fi @AaltoUniversity @VTTFinland A faster one? 😜,False,"[75, 90]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202517966455194e+18,1220251796645519364,2665510827.0,2665510827,drussilahg,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'drussilahg', 'name': 'Drussila Hollanda-Grönberg', 'id': 2665510827, 'id_str': '2665510827', 'indices': [0, 11]}, {'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [12, 23]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [24, 36]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [37, 45]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [46, 62]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [63, 74]}]",[],en,recent,3505261576,3505261576,Plinio Casarotto,p_casarotto,"Helsinki, Finland","Pharmacologist, neuroscientist and #preprint enthusiast @helsinkiuni.",,[],False,102,67,0,Mon Aug 31 20:16:39 +0000 2015,363,,,True,False,613,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,https://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3505261576/1441117160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thu Jan 23 09:36:32 +0000 2020,1220279137698488320,1220279137698488320,@teemu_roos @helsinkiuni @FCAI_fi @AaltoUniversity @VTTFinland Amen. 😂,False,"[63, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202370767734497e+18,1220237076773449728,7.755888201757819e+17,775588820175781888,teemu_roos,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [0, 11]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [12, 24]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [25, 33]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [34, 50]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [51, 62]}]",[],en,recent,3505261576,3505261576,Plinio Casarotto,p_casarotto,"Helsinki, Finland","Pharmacologist, neuroscientist and #preprint enthusiast @helsinkiuni.",,[],False,102,67,0,Mon Aug 31 20:16:39 +0000 2015,363,,,True,False,613,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,https://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3505261576/1441117160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Wed Jan 22 22:01:00 +0000 2020,1220104101171802112,1220104101171802112,"@teemu_roos @helsinkiuni @FCAI_fi @AaltoUniversity @VTTFinland Reliability and coverage, yes. As the article points, travel time is the worst score!!! As a heavy user, I say amen. We’re too bus-depending. And metro area not covered by tube/tram are the most dissatisfied. 😆",False,"[63, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220078042577625e+18,1220078042577625095,7.755888201757819e+17,775588820175781888,teemu_roos,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [0, 11]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [12, 24]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [25, 33]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [34, 50]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [51, 62]}]",[],en,recent,3505261576,3505261576,Plinio Casarotto,p_casarotto,"Helsinki, Finland","Pharmacologist, neuroscientist and #preprint enthusiast @helsinkiuni.",,[],False,102,67,0,Mon Aug 31 20:16:39 +0000 2015,363,,,True,False,613,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,https://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3505261576/1441117160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Wed Jan 22 17:30:39 +0000 2020,1220036063965655040,1220036063965655040,@JaanPraks @AaltoUniversity @cleanorbits @BusinessFinland @AaltoSatellites Thank you for a great couple of days and see you next year!,False,"[75, 134]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2200286324894802e+18,1220028632489480195,378563755.0,378563755,JaanPraks,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'JaanPraks', 'name': 'Jaan Praks', 'id': 378563755, 'id_str': '378563755', 'indices': [0, 10]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [11, 27]}, {'screen_name': 'cleanorbits', 'name': 'Sustainable Space', 'id': 916344893638959109, 'id_str': '916344893638959109', 'indices': [28, 40]}, {'screen_name': 'BusinessFinland', 'name': 'Business Finland', 'id': 808495806, 'id_str': '808495806', 'indices': [41, 57]}, {'screen_name': 'AaltoSatellites', 'name': 'Aalto Satellites', 'id': 812953413654872064, 'id_str': '812953413654872064', 'indices': [58, 74]}]",[],en,recent,1204871602527232000,1204871602527232000,Project APTAS,AptasProject,Kiruna,"The first student satellite at Luleå University of Technology, developed at Space Campus in Kiruna. Follow our journey!",https://t.co/X9x5z7PQiU,[],False,20,33,1,Wed Dec 11 21:13:28 +0000 2019,5,,,False,False,11,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1219595939482152961/E1hd2mqK_normal.jpg,https://pbs.twimg.com/profile_images/1219595939482152961/E1hd2mqK_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1204871602527232000/1576099133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/X9x5z7PQiU', 'expanded_url': 'http://projectaptas.com', 'display_url': 'projectaptas.com', 'indices': [0, 23]}]",
32,Wed Jan 22 17:27:51 +0000 2020,1220035358559260674,1220035358559260674,"@teemu_roos @helsinkiuni @FCAI_fi @AaltoUniversity @VTTFinland Helsinki is great in many aspects, and I’m among the lucky ones to have flexible hours, but the daily issues shakes the conclusion of being the top of that list.  Of course there’s always something to complain about 😜",False,"[63, 280]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200333709163028e+18,1220033370916302850,3505261576.0,3505261576,p_casarotto,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'teemu_roos', 'name': 'Teemu Roos', 'id': 775588820175781888, 'id_str': '775588820175781888', 'indices': [0, 11]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [12, 24]}, {'screen_name': 'FCAI_fi', 'name': 'FCAI', 'id': 935430166918070277, 'id_str': '935430166918070277', 'indices': [25, 33]}, {'screen_name': 'AaltoUniversity', 'name': 'Aalto University', 'id': 90345811, 'id_str': '90345811', 'indices': [34, 50]}, {'screen_name': 'VTTFinland', 'name': 'VTT', 'id': 66325641, 'id_str': '66325641', 'indices': [51, 62]}]",[],en,recent,3505261576,3505261576,Plinio Casarotto,p_casarotto,"Helsinki, Finland","Pharmacologist, neuroscientist and #preprint enthusiast @helsinkiuni.",,[],False,102,67,0,Mon Aug 31 20:16:39 +0000 2015,363,,,True,False,613,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,https://pbs.twimg.com/profile_images/638716824281026560/euica9j9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3505261576/1441117160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
