,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
5,Sat Jan 25 21:16:43 +0000 2020,1221180117592035328,1221180117592035328,@UTKnoxville @Ronaldayoung @UTK_Housing @tennalum #613 ‘13-‘14. What a bummer!,False,"[50, 78]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'Ronaldayoung', 'name': 'Ronald Young III', 'id': 228454681, 'id_str': '228454681', 'indices': [13, 26]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [27, 39]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [40, 49]}]",[],en,recent,809808828,809808828,Kaily Groover,kailygroover,"New York, NY",NYC | | Digital marketer | | Tennessee alum,,[],False,647,455,4,Fri Sep 07 23:46:42 +0000 2012,10407,,,True,False,9517,,False,False,False,352726,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1161762620627705861/cGr4MPzy_normal.jpg,https://pbs.twimg.com/profile_images/1161762620627705861/cGr4MPzy_normal.jpg,D02B55,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/809808828/1565820769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 17:36:08 +0000 2020,1221124606527971328,1221124606527971328,"@UTKnoxville @UTK_Housing @tennalum Thanks for the memories, the elevator that stopped between floors, and the cafeteria trays we used to sled down the Hill when it snowed. #LongLiveHotelMorrill 🧡🍊",False,"[36, 197]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,2,False,False,en,"[{'text': 'LongLiveHotelMorrill', 'indices': [173, 194]}]",[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,101830881,101830881,Sabrina,SabHop,,"TN girl, UT & Vandy alum, MISS STATE MOM, VFL, TITANS, PREDS, I 💛 attack dachshunds, travel, llamas on the lam, & forever searching for my @cocacola name",,[],False,248,614,10,Mon Jan 04 18:35:45 +0000 2010,12535,,,True,False,3340,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/870611445674901504/bS3CVUFC_normal.jpg,https://pbs.twimg.com/profile_images/870611445674901504/bS3CVUFC_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/101830881/1579444142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Jan 25 16:27:49 +0000 2020,1221107413698457600,1221107413698457600,@UTKnoxville @UTK_Housing @tennalum I don’t even recognize the campus anymore.,False,"[36, 78]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,2600993115,2600993115,Justin🇺🇸🍊,justinmsexton,"Nolensville, TN","Anesthesia daddy to six daughters, husband to an All-Star wife, proud UT Vol alumnus, Jesus follower.",,[],False,99,205,0,Wed Jun 11 12:26:01 +0000 2014,4765,,,False,False,4084,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1195016540728545280/Gd6IVHd__normal.jpg,https://pbs.twimg.com/profile_images/1195016540728545280/Gd6IVHd__normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2600993115/1568204358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sat Jan 25 15:28:16 +0000 2020,1221092429253791749,1221092429253791749,@lhyatsula @UTKnoxville @UTK_Housing @tennalum I lived in Humes and would eat in Morrill often. 😢,False,"[47, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210750204971581e+18,1221075020497158146,78129388.0,78129388,lhyatsula,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'lhyatsula', 'name': 'Lizzy Holt Yatsula', 'id': 78129388, 'id_str': '78129388', 'indices': [0, 10]}, {'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [11, 23]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [24, 36]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [37, 46]}]",[],en,recent,107484248,107484248,Courtney Shove,ceshove,"Memphis, TN",Food lover. Word nerd. @UTKnoxville and @Mizzou alum.,https://t.co/t4ew0wMyet,[],False,438,884,20,Fri Jan 22 18:23:37 +0000 2010,15664,,,True,False,19729,,False,False,False,569E71,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/1201276102557290496/j05Olvw0_normal.jpg,https://pbs.twimg.com/profile_images/1201276102557290496/j05Olvw0_normal.jpg,050400,FFFFFF,E3E2DE,634047,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/107484248/1484148306,"[{'url': 'https://t.co/t4ew0wMyet', 'expanded_url': 'http://cshove.wordpress.com', 'display_url': 'cshove.wordpress.com', 'indices': [0, 23]}]",7f7d58e5229c6b6c,https://api.twitter.com/1.1/geo/id/7f7d58e5229c6b6c.json,admin,Tennessee,"Tennessee, USA",US,United States,[],Polygon,"[[[-90.310298, 34.982924], [-81.646901, 34.982924], [-81.646901, 36.678119], [-90.310298, 36.678119]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sat Jan 25 11:32:50 +0000 2020,1221033181282959360,1221033181282959360,"@UTKnoxville @UTK_Housing @tennalum Lived on the 3rd floor for a few years in the late 90’s with a great group of guys.  #trifecta memories are strong, but the growth and progress on campus is amazing to see.  Go Vols!  #VFL @vols26",False,"[36, 232]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,1,False,False,en,"[{'text': 'trifecta', 'indices': [121, 130]}, {'text': 'VFL', 'indices': [220, 224]}]",[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}, {'screen_name': 'vols26', 'name': 'John Ewart', 'id': 2887536385, 'id_str': '2887536385', 'indices': [225, 232]}]",[],en,recent,708375106209320960,708375106209320960,Tony Green,tonygreen05,"Orlando, FL","MBA, CBAP, UT Alumni Board, IIBA Chapter Board, #baot #iamaBA #rollinsmba",,[],False,64,99,1,Fri Mar 11 19:32:41 +0000 2016,145,,,False,False,95,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1054349589044695040/Qz5bg9cb_normal.jpg,https://pbs.twimg.com/profile_images/1054349589044695040/Qz5bg9cb_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/708375106209320960/1540211506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sat Jan 25 00:51:08 +0000 2020,1220871690604941317,1220871690604941317,@UTKnoxville @UTK_Housing @tennalum Lived 2 years in Morrill.  Great times &amp; great friends.  My daughter lived there her freshman year too!,False,"[36, 143]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,1207313742075174913,1207313742075174913,Tim,timbernforge,Tennessee,UT '93 Alum  #GBO #VFL #VolTwitter,,[],False,134,559,0,Wed Dec 18 14:56:50 +0000 2019,1642,,,False,False,326,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215354904623157248/uQ4K0avA_normal.jpg,https://pbs.twimg.com/profile_images/1215354904623157248/uQ4K0avA_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1207313742075174913/1578599837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sat Jan 25 00:25:46 +0000 2020,1220865308497457166,1220865308497457166,@UTKnoxville @UTK_Housing @tennalum RIP freshman dorm,False,"[36, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,445039140,445039140,Nate,_NateeTheGreat,"Federal Hill, Baltimore",@TennAlum,,[],False,195,249,0,Fri Dec 23 23:12:47 +0000 2011,7983,,,True,False,3144,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1186302205856534528/3CoH4tNd_normal.jpg,https://pbs.twimg.com/profile_images/1186302205856534528/3CoH4tNd_normal.jpg,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/445039140/1572071914,,01eb7da953d9b395,https://api.twitter.com/1.1/geo/id/01eb7da953d9b395.json,city,Lansdowne,"Lansdowne, MD",US,United States,[],Polygon,"[[[-76.693922, 39.219095], [-76.618616, 39.219095], [-76.618616, 39.255518], [-76.693922, 39.255518]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Fri Jan 24 22:40:21 +0000 2020,1220838777792483329,1220838777792483329,@UTKnoxville @UTK_Housing @tennalum Plus my two summers as an OL!,False,"[36, 65]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208386777121628e+18,1220838677712162817,42339100.0,42339100,alfortner,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,42339100,42339100,Amanda Fortner Oakes,alfortner,"Nashville, Tennessee",UT and Vandy alumna. Speech Language Patholgist. Live Love!,,[],False,374,797,9,Mon May 25 03:12:19 +0000 2009,1620,,,True,False,4580,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/415468197672787968/SxSSMNrF_normal.jpeg,https://pbs.twimg.com/profile_images/415468197672787968/SxSSMNrF_normal.jpeg,FF3300,86A4A6,A0C5C7,333333,True,True,False,False,False,False,False,none,,,00ab941b685334e3,https://api.twitter.com/1.1/geo/id/00ab941b685334e3.json,city,Nashville,"Nashville, TN",US,United States,[],Polygon,"[[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Fri Jan 24 22:39:57 +0000 2020,1220838677712162817,1220838677712162817,"@UTKnoxville @UTK_Housing @tennalum Farewell, Morrill! You made my freshman year a great one. Campus has changed so much!",False,"[36, 121]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,42339100,42339100,Amanda Fortner Oakes,alfortner,"Nashville, Tennessee",UT and Vandy alumna. Speech Language Patholgist. Live Love!,,[],False,374,797,9,Mon May 25 03:12:19 +0000 2009,1620,,,True,False,4580,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/415468197672787968/SxSSMNrF_normal.jpeg,https://pbs.twimg.com/profile_images/415468197672787968/SxSSMNrF_normal.jpeg,FF3300,86A4A6,A0C5C7,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fri Jan 24 22:21:30 +0000 2020,1220834033929723905,1220834033929723905,"@UTKnoxville @UTK_Housing @tennalum While I’m sad to see UT erasing history from it’s campus, I do understand the need to update buildings.",False,"[36, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,5364832,5364832,Somewhere in TN,jellybean,Tennessee,"NWS Certified Advanced Storm Spotter, NWS Weather Ambassador, & National Park Service Volunteer Photographer, UTKnoville alumnus",https://t.co/zgRtOq44lJ,[],False,411,405,20,Fri Apr 20 23:44:04 +0000 2007,11830,,,True,False,6748,,False,False,False,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/691007345623732229/i64z7pbs_normal.jpg,https://pbs.twimg.com/profile_images/691007345623732229/i64z7pbs_normal.jpg,9266CC,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/5364832/1496023135,"[{'url': 'https://t.co/zgRtOq44lJ', 'expanded_url': 'http://act.alz.org/goto/denaoneal', 'display_url': 'act.alz.org/goto/denaoneal', 'indices': [0, 23]}]",4ec01c9dbc693497,https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json,admin,Florida,"Florida, USA",US,United States,[],Polygon,"[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Fri Jan 24 20:21:51 +0000 2020,1220803923923079169,1220803923923079169,@UTKnoxville @UTK_Housing @tennalum In the 90’s...... had the best cafeteria on campus nobody knew about,False,"[36, 104]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,13,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,938199462320726017,938199462320726017,Reinventing Rad,HeavyPontheHill,TN / NC,#VFL #THFC #COYS #Titans #Grindcity #Preds @UTKnoxville alum '98 #soberlife #gratefulbeliever,,[],False,200,741,1,Wed Dec 06 00:12:37 +0000 2017,8772,,,True,False,1268,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1220566580876267520/oWBPluH4_normal.jpg,https://pbs.twimg.com/profile_images/1220566580876267520/oWBPluH4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/938199462320726017/1566386127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Fri Jan 24 19:52:29 +0000 2020,1220796533135810560,1220796533135810560,@aseaborne @UTKnoxville @UTK_Housing @tennalum I remember!,False,"[47, 58]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207964181825823e+18,1220796418182582278,19464711.0,19464711,aseaborne,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'aseaborne', 'name': 'Alexandria Seaborne', 'id': 19464711, 'id_str': '19464711', 'indices': [0, 10]}, {'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [11, 23]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [24, 36]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [37, 46]}]",[],en,recent,75719992,75719992,Stephen Anfield,StephenAnfield,"Washington, DC","🍊@UTKnoxville #VFL.
🇺🇸 Proud @CityYear/@AmeriCorps Alum.
💻 #Digital connector. 
🙌🏽Everyone's cheerleader. 
🧡Ubuntu. 
*All social: StephenAnfield
He/Him",,[],False,4921,1845,209,Sun Sep 20 04:33:50 +0000 2009,14830,,,True,False,50089,,False,False,True,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1063232295115595776/q9sqaRn__normal.jpg,https://pbs.twimg.com/profile_images/1063232295115595776/q9sqaRn__normal.jpg,F77F00,FFFFFF,DDEEF6,333333,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/75719992/1576015261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Fri Jan 24 19:46:47 +0000 2020,1220795099724029953,1220795099724029953,"@UTKnoxville @UTK_Housing @tennalum Never lived there, but I'd hike there from ""No Limit"" Clement to visit friends who did. So many memories. 🧡",False,"[36, 143]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,75719992,75719992,Stephen Anfield,StephenAnfield,"Washington, DC","🍊@UTKnoxville #VFL.
🇺🇸 Proud @CityYear/@AmeriCorps Alum.
💻 #Digital connector. 
🙌🏽Everyone's cheerleader. 
🧡Ubuntu. 
*All social: StephenAnfield
He/Him",,[],False,4921,1845,209,Sun Sep 20 04:33:50 +0000 2009,14830,,,True,False,50089,,False,False,True,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1063232295115595776/q9sqaRn__normal.jpg,https://pbs.twimg.com/profile_images/1063232295115595776/q9sqaRn__normal.jpg,F77F00,FFFFFF,DDEEF6,333333,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/75719992/1576015261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Fri Jan 24 19:44:50 +0000 2020,1220794609305038851,1220794609305038851,@UTKnoxville @UTK_Housing @tennalum Ate there often. Lived most of my time in Andy Holt other than freshman year in Reece Hall. Time rolls on I suppose....,False,"[36, 155]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207931103068365e+18,1220793110306836481,19773627.0,19773627,UTKnoxville,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UTKnoxville', 'name': 'UT Knoxville', 'id': 19773627, 'id_str': '19773627', 'indices': [0, 12]}, {'screen_name': 'UTK_Housing', 'name': 'University Housing', 'id': 386581002, 'id_str': '386581002', 'indices': [13, 25]}, {'screen_name': 'tennalum', 'name': 'UT Knoxville Alumni', 'id': 19734817, 'id_str': '19734817', 'indices': [26, 35]}]",[],en,recent,1394793300,1394793300,Gary Trentham,GaryTrentham,"Talbott, TN","University of Tennessee alum, banker, biker, husband, father and grandfather",,[],False,392,815,1,Wed May 01 14:45:28 +0000 2013,47407,,,False,False,2729,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1200839523875381251/7KQIlPf5_normal.jpg,https://pbs.twimg.com/profile_images/1200839523875381251/7KQIlPf5_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1394793300/1367461396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
