,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.profile_banner_url,retweeted_status.user.entities.url.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
2,Sat Jan 25 18:45:19 +0000 2020,1221142020133138437,1221142020133138437,@UPUA voted to sponsor 4 resolutions on behalf of @penn_state—read about them below!,False,"[0, 84]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211420169832735e+18,1221142016983273474,1.1190514931586744e+18,1119051493158674433,UPUA_Gov,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UPUA', 'name': 'PennStateStudentGovt', 'id': 69676765, 'id_str': '69676765', 'indices': [0, 5]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [50, 61]}]",[],en,recent,1119051493158674433,1119051493158674433,UPUA Governmental Affairs Committee,UPUA_Gov,"State College, PA",@UPUA committee responsible for advocacy on behalf of the @Penn_State UP Student Body at all levels of U.S. Government | Chair @ZacharyPMcKay | RT ≠ Endorsement,https://t.co/aI4MlaE0Ft,"[{'url': 'https://t.co/aI4MlaE0Ft', 'expanded_url': 'http://upua.org', 'display_url': 'upua.org', 'indices': [0, 23]}]",[],False,103,481,0,Fri Apr 19 01:34:01 +0000 2019,248,,,True,False,177,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1152242782909677568/QpYP3HG0_normal.png,https://pbs.twimg.com/profile_images/1152242782909677568/QpYP3HG0_normal.png,https://pbs.twimg.com/profile_banners/1119051493158674433/1572135739,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,1010ecfa7d3a40f8,https://api.twitter.com/1.1/geo/id/1010ecfa7d3a40f8.json,admin,Indiana,"Indiana, USA",US,United States,[],Polygon,"[[[-88.097892, 37.771743], [-84.78458, 37.771743], [-84.78458, 41.761368], [-88.097892, 41.761368]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Jan 25 18:16:26 +0000 2020,1221134749810466816,1221134749810466816,"In the last 30 minutes I have #WeAre’d three different groups of people while at #HollywoodStudios. One guy even followed up with, “we are everywhere!” Yes pal, WE ARE. @penn_state @PSU_Admissions @PennStateAlums",False,"[0, 212]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,6,False,False,en,"[{'text': 'WeAre', 'indices': [30, 36]}, {'text': 'HollywoodStudios', 'indices': [81, 98]}]",[],"[{'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [169, 180]}, {'screen_name': 'PSU_Admissions', 'name': 'PSU Admissions', 'id': 70507922, 'id_str': '70507922', 'indices': [181, 196]}, {'screen_name': 'PennStateAlums', 'name': 'Penn State Alumni', 'id': 15562285, 'id_str': '15562285', 'indices': [197, 212]}]",[],en,recent,165815598,165815598,Admissions Dude,BertWMcBrayer,Happy Valley-ish,Son. Brother. Husband. Father. Nerd. Soccer dad. Undergrad admissions dude at @Penn_State. #BowTie #CoffeeZombie Views are my own. RT ≠ endorsement.,https://t.co/9GC437DiKk,"[{'url': 'https://t.co/9GC437DiKk', 'expanded_url': 'http://admissionsdude.com', 'display_url': 'admissionsdude.com', 'indices': [0, 23]}]",[],False,291,291,11,Mon Jul 12 16:24:07 +0000 2010,2934,,,True,False,5211,,False,False,False,120069,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1199704291516329987/t-OfY3SM_normal.jpg,https://pbs.twimg.com/profile_images/1199704291516329987/t-OfY3SM_normal.jpg,https://pbs.twimg.com/profile_banners/165815598/1574975148,3154B0,FFFFFF,E0E0E3,2C1592,True,True,False,False,False,False,False,none,0fc2e5019894d002,https://api.twitter.com/1.1/geo/id/0fc2e5019894d002.json,poi,Star Wars: Galaxy's Edge,Star Wars: Galaxy's Edge,US,United States,[],Polygon,"[[[-81.5620493888855, 28.35405560565534], [-81.5620493888855, 28.35405560565534], [-81.5620493888855, 28.35405560565534], [-81.5620493888855, 28.35405560565534]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 14:29:21 +0000 2020,1221077603563593729,1221077603563593729,@penn_state And so it begins. Our fitness will be the birth of skynet.,False,"[12, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210553762395791e+18,1221055376239579137,119376050.0,119376050,penn_state,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [0, 11]}]",[],en,recent,1942508916,1942508916,Joel,JVWorrell448,"Tallahassee, Florida","Floridian, USAF Brat, ENTP-T, Data, Geospatial Intel, GIS, Economy, Transportation, Science, Dallas Cowboys.",,,[],False,157,1246,23,Mon Oct 07 01:15:57 +0000 2013,1612,,,True,False,2342,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1104462332850249728/F9FIqul9_normal.jpg,https://pbs.twimg.com/profile_images/1104462332850249728/F9FIqul9_normal.jpg,https://pbs.twimg.com/profile_banners/1942508916/1445390090,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 21:41:22 +0000 2020,1220823936004427776,1220823936004427776,@SiaraRouzer @nicoleacrowley @penn_state I recall multiple people from advisors to professors to graduate students giving me advice about what I should be wearing (Always wear a skirt! Never wear a skirt! Don't wear a feminine blouse! Don't wear heels.) at the expense of things that might have truly been valuable.,False,"[41, 315]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208236972647096e+18,1220823697264709634,889499917.0,889499917,MicheleStine,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'SiaraRouzer', 'name': 'Siara Rouzer, MSc.', 'id': 977581762464374784, 'id_str': '977581762464374784', 'indices': [0, 12]}, {'screen_name': 'nicoleacrowley', 'name': 'Dr. Nikki Crowley', 'id': 3809733737, 'id_str': '3809733737', 'indices': [13, 28]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [29, 40]}]",[],en,recent,889499917,889499917,Michele Stine,MicheleStine,"University Park, PA","Teaching Associate Professor, BBH; Adviser, BBH Society, PSU Alum",,,[],False,65,157,5,Thu Oct 18 18:39:36 +0000 2012,5043,,,True,False,4071,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/843453509542576130/DruikT3f_normal.jpg,https://pbs.twimg.com/profile_images/843453509542576130/DruikT3f_normal.jpg,https://pbs.twimg.com/profile_banners/889499917/1534186303,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fri Jan 24 21:40:25 +0000 2020,1220823697264709634,1220823697264709634,@SiaraRouzer @nicoleacrowley @penn_state The amount of time and energy devoted to this that could be spent on other ways of preparing is horrifying.,False,"[41, 148]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208132646003016e+18,1220813264600301568,9.775817624643748e+17,977581762464374784,SiaraRouzer,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SiaraRouzer', 'name': 'Siara Rouzer, MSc.', 'id': 977581762464374784, 'id_str': '977581762464374784', 'indices': [0, 12]}, {'screen_name': 'nicoleacrowley', 'name': 'Dr. Nikki Crowley', 'id': 3809733737, 'id_str': '3809733737', 'indices': [13, 28]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [29, 40]}]",[],en,recent,889499917,889499917,Michele Stine,MicheleStine,"University Park, PA","Teaching Associate Professor, BBH; Adviser, BBH Society, PSU Alum",,,[],False,65,157,5,Thu Oct 18 18:39:36 +0000 2012,5043,,,True,False,4071,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/843453509542576130/DruikT3f_normal.jpg,https://pbs.twimg.com/profile_images/843453509542576130/DruikT3f_normal.jpg,https://pbs.twimg.com/profile_banners/889499917/1534186303,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 21:11:15 +0000 2020,1220816355349487616,1220816355349487616,"@SiaraRouzer @penn_state I can totally see that unfortunately. Maybe PSU always interviewing in the middle of a snowstorm can be a great outfit equalizer, because everyone is always in snow boots and parkas!",False,"[25, 207]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208132646003016e+18,1220813264600301568,9.775817624643748e+17,977581762464374784,SiaraRouzer,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'SiaraRouzer', 'name': 'Siara Rouzer, MSc.', 'id': 977581762464374784, 'id_str': '977581762464374784', 'indices': [0, 12]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [13, 24]}]",[],en,recent,3809733737,3809733737,Dr. Nikki Crowley,nicoleacrowley,"State College, PA","Assistant Research Professor @PennStateBBH @Penn_State I study addiction, anxiety, &the brain. I like peptides and ephys. opinions my own she/her",https://t.co/xuGsN4SDPq,"[{'url': 'https://t.co/xuGsN4SDPq', 'expanded_url': 'http://www.crowley-lab.org', 'display_url': 'crowley-lab.org', 'indices': [0, 23]}]",[],False,1530,763,10,Tue Sep 29 01:53:24 +0000 2015,11569,,,False,False,3490,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1141838860177104902/zYUKrlf5_normal.jpg,https://pbs.twimg.com/profile_images/1141838860177104902/zYUKrlf5_normal.jpg,https://pbs.twimg.com/profile_banners/3809733737/1559607589,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri Jan 24 20:58:58 +0000 2020,1220813264600301568,1220813264600301568,"@nicoleacrowley @penn_state We had a really great panel last semester which covered this topic, and the general conclusion was that there were many more ways for women to ""go wrong"" with dress than men.",False,"[28, 202]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220808964776059e+18,1220808964776058883,3809733737.0,3809733737,nicoleacrowley,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nicoleacrowley', 'name': 'Dr. Nikki Crowley', 'id': 3809733737, 'id_str': '3809733737', 'indices': [0, 15]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [16, 27]}]",[],en,recent,977581762464374784,977581762464374784,"Siara Rouzer, MSc.",SiaraRouzer,"Binghamton, NY",Electrophysiologist & Neuroscience PhD candidate investigating fetal alcohol exposure & amygdala impairment. Advocate for science communication/accessibility.,,,[],False,267,117,1,Sat Mar 24 16:23:49 +0000 2018,2367,,,False,False,696,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1166133964689612800/HTgmWZIf_normal.jpg,https://pbs.twimg.com/profile_images/1166133964689612800/HTgmWZIf_normal.jpg,https://pbs.twimg.com/profile_banners/977581762464374784/1561481511,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fri Jan 24 15:28:01 +0000 2020,1220729978817564672,1220729978817564672,"After eating about half of @penn_state ice cream supply, I can wholeheartedly say that there is not a single bad flavor at the creamery #BerkeyCreamery #PennState #WeAre #FoodScienceChris",False,"[0, 187]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,3,False,False,en,"[{'text': 'BerkeyCreamery', 'indices': [136, 151]}, {'text': 'PennState', 'indices': [152, 162]}, {'text': 'WeAre', 'indices': [163, 169]}, {'text': 'FoodScienceChris', 'indices': [170, 187]}]",[],"[{'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [27, 38]}]",[],en,recent,3496399692,3496399692,Chris Talarico,Aeromau5,Eating some Steak ,"Food Science Major
Looking to Hangar around and Meat other Food Scientists 
Nazareth High School '17
Penn State '22
The Boy Half of Klaristopher❤❤❤",,,[],False,106,166,2,Tue Sep 08 20:01:21 +0000 2015,5161,,,False,False,4031,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219024394548391936/4hNPelxL_normal.jpg,https://pbs.twimg.com/profile_images/1219024394548391936/4hNPelxL_normal.jpg,https://pbs.twimg.com/profile_banners/3496399692/1558274157,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 06:01:05 +0000 2020,1220587303028084738,1220587303028084738,@silencedforreal @yungneocon @penn_state Okay. Goodbye. 😊,False,"[41, 57]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220585701126955e+18,1220585701126955008,1.2062289664634184e+18,1206228966463418370,silencedforreal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'silencedforreal', 'name': 'Laura', 'id': 1206228966463418370, 'id_str': '1206228966463418370', 'indices': [0, 16]}, {'screen_name': 'yungneocon', 'name': '🌎🌵the 🚀🌌cosmist 💣✊insurrection  🏴🚩', 'id': 344463100, 'id_str': '344463100', 'indices': [17, 28]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [29, 40]}]",[],en,recent,2855854300,2855854300,Fabien-Denis Cayer,OldAristocles,"Brandon, Manitoba","Hermit, Teetotaller+, Aspiring Human Being, Anti-Platonist Platonist, and Philosophy PhD Student @uOttawa. He/him",https://t.co/GJgOJKHogU,"[{'url': 'https://t.co/GJgOJKHogU', 'expanded_url': 'http://www.buriedincontemplation.com', 'display_url': 'buriedincontemplation.com', 'indices': [0, 23]}]",[],False,1943,326,31,Sat Nov 01 23:26:52 +0000 2014,24453,,,False,False,8756,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219423264788840448/mCQ9gCBH_normal.jpg,https://pbs.twimg.com/profile_images/1219423264788840448/mCQ9gCBH_normal.jpg,https://pbs.twimg.com/profile_banners/2855854300/1557013673,088253,FFFFFF,000000,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 02:16:18 +0000 2020,1220530734563319808,1220530734563319808,@Bilbodatoad @Zay_800 @PennStateTFXC @GoPSUsports @penn_state @nyrr @ToadTrackClub @GoAdventure2Day See yah nxt wknd!  🤛🏿,False,"[100, 121]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205113334033162e+18,1220511333403316226,287026585.0,287026585,Bilbodatoad,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Bilbodatoad', 'name': 'Billy Da Kid', 'id': 287026585, 'id_str': '287026585', 'indices': [0, 12]}, {'screen_name': 'Zay_800', 'name': 'Isaiah Harris', 'id': 496511398, 'id_str': '496511398', 'indices': [13, 21]}, {'screen_name': 'PennStateTFXC', 'name': 'Penn State Track & Field/Cross Country', 'id': 21801562, 'id_str': '21801562', 'indices': [22, 36]}, {'screen_name': 'GoPSUsports', 'name': 'Penn State Athletics', 'id': 22049388, 'id_str': '22049388', 'indices': [37, 49]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [50, 61]}, {'screen_name': 'nyrr', 'name': 'New York Road Runners', 'id': 18192214, 'id_str': '18192214', 'indices': [62, 67]}, {'screen_name': 'ToadTrackClub', 'name': 'Toad Track Club', 'id': 833902276427313152, 'id_str': '833902276427313152', 'indices': [68, 82]}, {'screen_name': 'GoAdventure2Day', 'name': 'GoOnOneAdventureADay', 'id': 4820220334, 'id_str': '4820220334', 'indices': [83, 99]}]",[],en,recent,73009570,73009570,Tuck,etuck495,State College ,"UF Graduate & Associate Head Track Coach at Penn State University. Grinding daily to be a great example for my sons & PSU Student Hyphen Athletes
Q4F95OZ
#WeAre",,,[],False,1743,4245,17,Thu Sep 10 01:36:38 +0000 2009,38212,,,True,False,22849,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1153325294658445312/xX7rFovA_normal.jpg,https://pbs.twimg.com/profile_images/1153325294658445312/xX7rFovA_normal.jpg,https://pbs.twimg.com/profile_banners/73009570/1566834398,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fri Jan 24 01:12:42 +0000 2020,1220514732421079042,1220514732421079042,I was just sitting here thinking how ridiculous it is to expect someone to have 12 months of employment somewhere before they can qualify for 4 weeks of paid parental leave.  @penn_state,False,"[0, 186]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220381348696875e+18,1220381348696875009,196382975.0,196382975,danaeblasso,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [175, 186]}]",[],en,recent,196382975,196382975,Danae Blasso,danaeblasso,,Day job: Helping @Penn_State Liberal Arts alumni find their passion by connecting them to meaningful opportunities. Night job: cuddling my cat.,,,[],False,500,839,5,Wed Sep 29 00:16:45 +0000 2010,1096,,,True,False,5911,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/869399761757110273/cPeJMuL8_normal.jpg,https://pbs.twimg.com/profile_images/869399761757110273/cPeJMuL8_normal.jpg,,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Thu Jan 23 23:34:21 +0000 2020,1220489978481905664,1220489978481905664,RT @dylan_ruediger: @penn_state @SMC_edu Laura Cruz now connecting student equity and faculty equity issues. I love this bit from the works…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'dylan_ruediger', 'name': 'Dylan Ruediger', 'id': 842803481337585664, 'id_str': '842803481337585664', 'indices': [3, 18]}, {'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [20, 31]}, {'screen_name': 'SMC_edu', 'name': 'Santa Monica College', 'id': 41474889, 'id_str': '41474889', 'indices': [32, 40]}]",[],en,recent,322660527,322660527,Dr. Schroyer,_precie,,Wife. Mother. Associate Dean and former English professor. PhD in British Literature. Writer. Intersectional feminist. Fan of good whiskey.,,,[],False,497,990,64,Thu Jun 23 14:57:41 +0000 2011,19650,,,False,False,15977,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1459919284/rsz_dsc02081_normal.jpg,https://pbs.twimg.com/profile_images/1459919284/rsz_dsc02081_normal.jpg,,990000,DFDFDF,F3F3F3,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,Thu Jan 23 22:01:00 +0000 2020,1.2204664856735007e+18,1220466485673500674,"@penn_state @SMC_edu Laura Cruz now connecting student equity and faculty equity issues. I love this bit from the worksheet she's distributed to the audience ""contingent working conditions are student learning conditions."" #AACU20",False,"[21, 230]","[{'text': 'AACU20', 'indices': [223, 230]}]",[],"[{'screen_name': 'penn_state', 'name': 'Penn State', 'id': 119376050, 'id_str': '119376050', 'indices': [0, 11]}, {'screen_name': 'SMC_edu', 'name': 'Santa Monica College', 'id': 41474889, 'id_str': '41474889', 'indices': [12, 20]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204611065206456e+18,1220461106520645651,8.428034813375857e+17,842803481337585664,dylan_ruediger,8.428034813375857e+17,842803481337585664,Dylan Ruediger,dylan_ruediger,"Washington, DC","Coordinator, Career Diversity for Historians and Institutional Research @AHAhistorians. Views my own. he/his",,[],False,873.0,607.0,16.0,Fri Mar 17 18:23:03 +0000 2017,2172.0,,,False,False,4571.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181283798174109697/Kf7s9pz__normal.jpg,https://pbs.twimg.com/profile_images/1181283798174109697/Kf7s9pz__normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,2.0,3.0,False,False,en,https://pbs.twimg.com/profile_banners/842803481337585664/1562772585,,,,
