,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
1,Sun Jan 26 06:35:39 +0000 2020,1221320779091955712,1221320779091955712,@clareawright @honourawoman @AustHistAssoc @latrobe @text_publishing Congratulations! And omg you’re a Clare Alice too 🥰,False,"[69, 120]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212173543878738e+18,1221217354387873792,2179187430.0,2179187430,clareawright,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [0, 13]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [14, 27]}, {'screen_name': 'AustHistAssoc', 'name': 'AHA (Australia)', 'id': 357182319, 'id_str': '357182319', 'indices': [28, 42]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [43, 51]}, {'screen_name': 'text_publishing', 'name': 'Text Publishing', 'id': 59393374, 'id_str': '59393374', 'indices': [52, 68]}]",[],en,recent,864487046,864487046,Clare Murphy,ClareAliceMurph,"Melbourne, Victoria","Foreign policy, counter-terrorism, #natsec | @CelticClubMelb podcaster 🇦🇺🎙🇮🇪 | @ACYPI Media | @ASPI_org alumna | @melbournefc fan | Views my own",https://t.co/CBokmlL1U1,[],False,1438,1560,37,Sat Oct 06 10:40:11 +0000 2012,14339,,,True,False,15836,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/590113378560937985/vXTVuqzK_normal.jpg,https://pbs.twimg.com/profile_images/590113378560937985/vXTVuqzK_normal.jpg,https://pbs.twimg.com/profile_banners/864487046/1508237921,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/CBokmlL1U1', 'expanded_url': 'https://podcasts.apple.com/au/podcast/celtic-club-melbourne-podcast/id1463358305', 'display_url': 'podcasts.apple.com/au/podcast/cel…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun Jan 26 06:18:27 +0000 2020,1221316450079535105,1221316450079535105,@_Nic_Lee @latrobe I just have no words,False,"[19, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211655410432287e+18,1221165541043228672,9.752847312846193e+17,975284731284619264,_Nic_Lee,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': '_Nic_Lee', 'name': 'Nicole Lee', 'id': 975284731284619264, 'id_str': '975284731284619264', 'indices': [0, 9]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [10, 18]}]",[],en,recent,2954332377,2954332377,Belinda,Legalblindblond,"Melbourne, Victoria",Criminology/Law student @Deakin. Passionate about Criminal & Family Law. Will graduate in my early 40s but IDGAF :),,[],False,82,391,0,Thu Jan 01 06:45:07 +0000 2015,490,,,True,False,214,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216689611012861952/CpgVuG9r_normal.jpg,https://pbs.twimg.com/profile_images/1216689611012861952/CpgVuG9r_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sun Jan 26 04:03:56 +0000 2020,1221282600519495685,1221282600519495685,@clareawright @honourawoman @AustHistAssoc @latrobe @text_publishing Congratulations @clareawright     Great honour and well-deserved recognition.,False,"[69, 146]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212173543878738e+18,1221217354387873792,2179187430.0,2179187430,clareawright,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [0, 13]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [14, 27]}, {'screen_name': 'AustHistAssoc', 'name': 'AHA (Australia)', 'id': 357182319, 'id_str': '357182319', 'indices': [28, 42]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [43, 51]}, {'screen_name': 'text_publishing', 'name': 'Text Publishing', 'id': 59393374, 'id_str': '59393374', 'indices': [52, 68]}, {'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [85, 98]}]",[],en,recent,1536282794,1536282794,RobynMurphy,robyn_murphy1,"Melbourne, Victoria","Professor, Dept of Biochemistry and Genetics at LaTrobe University",,[],False,431,154,2,Fri Jun 21 11:05:16 +0000 2013,2845,,,True,False,513,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/582857964370862080/2V_iDArH_normal.jpg,https://pbs.twimg.com/profile_images/582857964370862080/2V_iDArH_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,01864a8a64df9dc4,https://api.twitter.com/1.1/geo/id/01864a8a64df9dc4.json,city,Melbourne,"Melbourne, Victoria",AU,Australia,[],Polygon,"[[[144.593741856, -38.433859306], [145.512528832, -38.433859306], [145.512528832, -37.5112737225], [144.593741856, -37.5112737225]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sun Jan 26 03:19:44 +0000 2020,1221271474595434501,1221271474595434501,"@clareawright @honourawoman @AustHistAssoc @latrobe @text_publishing Wonderful to see your exceptional efforts recognised Professor. Those Foremothers would be Sooo proud.

Meanwhile.. onwards to #GenderEquality in the #gongs, one medal at a time.

😁👏🏾👏🏻👏🏽👏🏿🤸‍♀️💃🏿🙋🏿‍♀️🙆🏾‍♂️🙆🏼‍♀️

#HonouraWoman
#5050in2020
#RecognitionMatters
#NominateHer",False,"[69, 339]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212173543878738e+18,1221217354387873792,2179187430.0,2179187430,clareawright,,,,,False,0,1,False,False,en,"[{'text': 'GenderEquality', 'indices': [196, 211]}, {'text': 'gongs', 'indices': [219, 225]}, {'text': 'HonouraWoman', 'indices': [281, 294]}, {'text': '5050in2020', 'indices': [295, 306]}, {'text': 'RecognitionMatters', 'indices': [307, 326]}, {'text': 'NominateHer', 'indices': [327, 339]}]",[],"[{'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [0, 13]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [14, 27]}, {'screen_name': 'AustHistAssoc', 'name': 'AHA (Australia)', 'id': 357182319, 'id_str': '357182319', 'indices': [28, 42]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [43, 51]}, {'screen_name': 'text_publishing', 'name': 'Text Publishing', 'id': 59393374, 'id_str': '59393374', 'indices': [52, 68]}]",[],en,recent,56036655,56036655,Ruth McGowan,hula_grl,Gippsland Victoria Australia,"OAM. Tweet about politics, science, equality & agriculture. Proud CFA volunteer, co-founder #HonouraWoman. Author: #GetElected, Ally🌈",https://t.co/uYc51itC91,[],False,2088,3434,45,Sun Jul 12 06:39:02 +0000 2009,14371,,,True,False,3731,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1107871155329744897/PhBjOmCd_normal.png,https://pbs.twimg.com/profile_images/1107871155329744897/PhBjOmCd_normal.png,https://pbs.twimg.com/profile_banners/56036655/1552972002,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/uYc51itC91', 'expanded_url': 'https://ruthmcgowan.com/book/', 'display_url': 'ruthmcgowan.com/book/', 'indices': [0, 23]}]",0ec0c4fcacbd0083,https://api.twitter.com/1.1/geo/id/0ec0c4fcacbd0083.json,admin,Victoria,"Victoria, Australia",AU,Australia,[],Polygon,"[[[140.961681976682, -39.1591895298437], [149.976679007421, -39.1591895298437], [149.976679007421, -33.9804255797424], [140.961681976682, -33.9804255797424]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sun Jan 26 02:51:56 +0000 2020,1221264478278316033,1221264478278316033,@clareawright @honourawoman @AustHistAssoc @latrobe @text_publishing Congratulations Clare!,False,"[69, 91]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212173543878738e+18,1221217354387873792,2179187430.0,2179187430,clareawright,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [0, 13]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [14, 27]}, {'screen_name': 'AustHistAssoc', 'name': 'AHA (Australia)', 'id': 357182319, 'id_str': '357182319', 'indices': [28, 42]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [43, 51]}, {'screen_name': 'text_publishing', 'name': 'Text Publishing', 'id': 59393374, 'id_str': '59393374', 'indices': [52, 68]}]",[],en,recent,2595877058,2595877058,Julie Blythe,Julesbee7,"Bunurong Land, Kulin Nation","PhD candidate, La Trobe University | Tibet, conflict transformation, international relations, human rights, social movements & culture | She/her",,[],False,678,641,10,Mon Jun 30 05:58:46 +0000 2014,36782,,,True,False,5818,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/483492667167227905/GhMogmXl_normal.jpeg,https://pbs.twimg.com/profile_images/483492667167227905/GhMogmXl_normal.jpeg,https://pbs.twimg.com/profile_banners/2595877058/1404109001,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sun Jan 26 01:33:12 +0000 2020,1221244665497710592,1221244665497710592,@clareawright @honourawoman @AustHistAssoc @latrobe @text_publishing Well done!!! 👏🏼👏🏼👏🏼,False,"[69, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212173543878738e+18,1221217354387873792,2179187430.0,2179187430,clareawright,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [0, 13]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [14, 27]}, {'screen_name': 'AustHistAssoc', 'name': 'AHA (Australia)', 'id': 357182319, 'id_str': '357182319', 'indices': [28, 42]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [43, 51]}, {'screen_name': 'text_publishing', 'name': 'Text Publishing', 'id': 59393374, 'id_str': '59393374', 'indices': [52, 68]}]",[],en,recent,54874945,54874945,Corri Baker,corribaker,"Adelaide, South Australia",Research chemist turned government alchemist. Sustainable energy & mining policy. Nankeen kestrel. I read past my bedtime. #sciart #scicomm #scipol,https://t.co/QVSmdMqDg3,[],False,1824,1708,31,Wed Jul 08 12:01:35 +0000 2009,16016,,,True,False,7498,,False,False,False,352726,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1215197483166339073/htYAAmpP_normal.jpg,https://pbs.twimg.com/profile_images/1215197483166339073/htYAAmpP_normal.jpg,https://pbs.twimg.com/profile_banners/54874945/1578741947,D02B55,FFFFFF,99CC33,3E4415,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/QVSmdMqDg3', 'expanded_url': 'http://www.linkedin.com/in/corribaker', 'display_url': 'linkedin.com/in/corribaker', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sun Jan 26 00:22:11 +0000 2020,1221226794277203968,1221226794277203968,@clareawright @honourawoman @AustHistAssoc @latrobe @text_publishing Congratulations!!,False,"[69, 86]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212173543878738e+18,1221217354387873792,2179187430.0,2179187430,clareawright,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'clareawright', 'name': 'Prof Clare Wright', 'id': 2179187430, 'id_str': '2179187430', 'indices': [0, 13]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [14, 27]}, {'screen_name': 'AustHistAssoc', 'name': 'AHA (Australia)', 'id': 357182319, 'id_str': '357182319', 'indices': [28, 42]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [43, 51]}, {'screen_name': 'text_publishing', 'name': 'Text Publishing', 'id': 59393374, 'id_str': '59393374', 'indices': [52, 68]}]",[],en,recent,207407964,207407964,Lucy Sunman,lucysunman,Sydney,"Lawyer & policy wonk. PhD candidate in international security @sydney_uni @sydneyciss - terrorism, social media & crisis comms.",,[],False,1957,5002,31,Mon Oct 25 08:01:20 +0000 2010,69873,,,False,False,11187,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/552691745486434305/ytIEyg6x_normal.jpeg,https://pbs.twimg.com/profile_images/552691745486434305/ytIEyg6x_normal.jpeg,https://pbs.twimg.com/profile_banners/207407964/1446774277,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sat Jan 25 21:57:43 +0000 2020,1221190438159355907,1221190438159355907,"@_Nic_Lee @latrobe Who does Bettina know that raped a woman? Her Husband? Son? Brother? Seems like she really wants to create a culture and atmosphere where victims are shamed  and intimidated into silence. So is it for ideological reasons only, or a more personally vested interest?",False,"[19, 283]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211655410432287e+18,1221165541043228672,9.752847312846193e+17,975284731284619264,_Nic_Lee,,,,,False,1,7,False,False,en,[],[],"[{'screen_name': '_Nic_Lee', 'name': 'Nicole Lee', 'id': 975284731284619264, 'id_str': '975284731284619264', 'indices': [0, 9]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [10, 18]}]",[],en,recent,248933995,248933995,Barry Evans,bazblackadder,"Earth, Sol System, Alpha Quad","BSc from The Open University.
TV, Sci-Fi & Formula One fan, Amateur Photographer, British Ex-Pat, Atheist, warped sense of humour, nerd boy.",,[],False,465,200,47,Tue Feb 08 01:03:31 +0000 2011,33572,,,True,False,31514,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1215059601487532032/9No0Zj_7_normal.jpg,https://pbs.twimg.com/profile_images/1215059601487532032/9No0Zj_7_normal.jpg,https://pbs.twimg.com/profile_banners/248933995/1578527759,E81C4F,000000,F3F3F3,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sat Jan 25 12:27:55 +0000 2020,1221047042211893253,1221047042211893253,@kmjgardiner @lizziejane @latrobe @HNSAustralasia So sad 😞,False,"[50, 58]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204833643873116e+18,1220483364387311617,23005650.0,23005650,kmjgardiner,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'kmjgardiner', 'name': 'Kelly Gardiner', 'id': 23005650, 'id_str': '23005650', 'indices': [0, 12]}, {'screen_name': 'lizziejane', 'name': 'Elizabeth Jane', 'id': 14875436, 'id_str': '14875436', 'indices': [13, 24]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [25, 33]}, {'screen_name': 'HNSAustralasia', 'name': 'HNS Australasia', 'id': 588757509, 'id_str': '588757509', 'indices': [34, 49]}]",[],en,recent,143314408,143314408,Sarah Mayor Cox,BespokeShespoke,Australia,"What's not to love about picture books and their creators? PhD (RMIT) on hold, children's & YA book reviewer with ABC Radio, Honorary Associate, La Trobe Uni.",http://t.co/3cpTepoHWk,[],False,893,1563,34,Thu May 13 04:15:31 +0000 2010,1279,,,False,False,4994,,False,False,False,064E7E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/788195443775672320/VWjCP_gy_normal.jpg,https://pbs.twimg.com/profile_images/788195443775672320/VWjCP_gy_normal.jpg,https://pbs.twimg.com/profile_banners/143314408/1561765187,3965A6,A7D4CF,94C5AF,5298A0,True,False,False,False,False,False,False,none,"[{'url': 'http://t.co/3cpTepoHWk', 'expanded_url': 'http://www.latrobe.edu.au/edu/staff/mayorcox_sarah.html', 'display_url': 'latrobe.edu.au/edu/staff/mayo…', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Fri Jan 24 08:57:33 +0000 2020,1220631714776543233,1220631714776543233,"@kmjgardiner @lizziejane @latrobe @HNSAustralasia Oh I didn’t realise today was this day 😞😔   What huge achievements, but even without... it seems so unfair.",False,"[50, 157]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204833643873116e+18,1220483364387311617,23005650.0,23005650,kmjgardiner,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'kmjgardiner', 'name': 'Kelly Gardiner', 'id': 23005650, 'id_str': '23005650', 'indices': [0, 12]}, {'screen_name': 'lizziejane', 'name': 'Elizabeth Jane', 'id': 14875436, 'id_str': '14875436', 'indices': [13, 24]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [25, 33]}, {'screen_name': 'HNSAustralasia', 'name': 'HNS Australasia', 'id': 588757509, 'id_str': '588757509', 'indices': [34, 49]}]",[],en,recent,733735652,733735652,"Anna Whateley, PhD.",AnnaWhateley,Turrbal/Jagera Land/Brisbane,✒️ YA. PhD. She/her. 'Peta Lyre's Rating Normal' 2020 with @AllenAndUnwin / GUDIA @BlackIncBooks 2020. Rep’d @danielle_binks #ADHD #ASD #EDS #ownvoices 🏳️‍🌈,https://t.co/HLh3yCevYe,[],False,2478,2109,29,Thu Aug 02 23:23:16 +0000 2012,37042,,,False,False,17934,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211460214559399937/sqT00SrY_normal.jpg,https://pbs.twimg.com/profile_images/1211460214559399937/sqT00SrY_normal.jpg,https://pbs.twimg.com/profile_banners/733735652/1576132936,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/HLh3yCevYe', 'expanded_url': 'http://annawhateley.com', 'display_url': 'annawhateley.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fri Jan 24 06:11:41 +0000 2020,1220589970320052224,1220589970320052224,@latrobe Why does Art have to reach every segment of the people?,False,"[9, 64]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205870576697262e+18,1220587057669726208,17053944.0,17053944,latrobe,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [0, 8]}]",[],en,recent,1107958892330311680,1107958892330311680,Sidhesh Patil,SidheshPatil1,"Victoria, Australia","- Law Student at La Trobe University
- Open to entry level opportunities within the legal sector

----------------------------------
ABN: 46 116 263 360",,[],False,14,97,0,Tue Mar 19 10:55:59 +0000 2019,705,,,False,False,1826,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1108111236904837120/wPsXLhZ6_normal.jpg,https://pbs.twimg.com/profile_images/1108111236904837120/wPsXLhZ6_normal.jpg,https://pbs.twimg.com/profile_banners/1107958892330311680/1556883396,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Thu Jan 23 03:54:11 +0000 2020,1220192982101446656,1220192982101446656,@higgspg @latrobe Thanks Peter!,False,"[18, 31]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2201753284814275e+18,1220175328481427456,38836706.0,38836706,higgspg,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'higgspg', 'name': 'Peter Higgs', 'id': 38836706, 'id_str': '38836706', 'indices': [0, 8]}, {'screen_name': 'latrobe', 'name': 'La Trobe University', 'id': 17053944, 'id_str': '17053944', 'indices': [9, 17]}]",[],en,recent,816225757,816225757,Deborah Gleeson,DrDebGleeson,,"Senior Lecturer in Public Health, La Trobe University; Deputy Convener, Political Economy of Health Special Interest Group, PHAA",,[],False,950,351,40,Mon Sep 10 23:18:18 +0000 2012,140,,,False,False,2118,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/2612326570/igkdhwiby4ek6i33cwrp_normal.jpeg,https://pbs.twimg.com/profile_images/2612326570/igkdhwiby4ek6i33cwrp_normal.jpeg,,990000,DFDFDF,F3F3F3,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
