,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
1,Sun Jan 26 00:27:46 +0000 2020,1221228199121690624,1221228199121690624,@labtech666 @OpenUniversity Welcome to the family!,False,"[28, 50]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210275243665367e+18,1221027524366536706,209001642.0,209001642,labtech666,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'labtech666', 'name': 'Rachel Chilton', 'id': 209001642, 'id_str': '209001642', 'indices': [0, 11]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [12, 27]}]",[],en,recent,2301700388,2301700388,Dylan,TwixDylan,"Lancashire, England","BSc Honours Computing and IT Student
All views and opinions are my own",,,[],False,46,130,0,Mon Jan 20 16:52:15 +0000 2014,3066,,,False,False,419,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,981CEB,000000,000000,000000,False,False,False,True,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 23:20:30 +0000 2020,1221211270776532992,1221211270776532992,"@pemlife @FinlayGames @OpenUniversity Mine are in London! I miss having tutorials in Brighton!

@FinlayGames we really need to meet up for a coffee sometime!",False,"[38, 157]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211021913202074e+18,1221102191320207366,8.804466693719777e+17,880446669371977729,pemlife,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'pemlife', 'name': 'Nicola', 'id': 880446669371977729, 'id_str': '880446669371977729', 'indices': [0, 8]}, {'screen_name': 'FinlayGames', 'name': 'Finn (TheInFinncible) 🏳️\u200d🌈', 'id': 22299145, 'id_str': '22299145', 'indices': [9, 21]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [22, 37]}, {'screen_name': 'FinlayGames', 'name': 'Finn (TheInFinncible) 🏳️\u200d🌈', 'id': 22299145, 'id_str': '22299145', 'indices': [96, 108]}]",[],en,recent,234455097,234455097,Sarah,SarahA_UK,"Brighton, UK","@OpenUniversity #MatureStudent (education/stats), work in #HEOutreach #WideningParticipation, Brightonian, leftie, gamer, #TWD fan, general nerd. Views my own.",,,[],False,219,461,2,Wed Jan 05 18:09:20 +0000 2011,1107,,,False,False,1741,,False,False,False,000000,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1109428818970841089/n7lcG48s_normal.png,https://pbs.twimg.com/profile_images/1109428818970841089/n7lcG48s_normal.png,https://pbs.twimg.com/profile_banners/234455097/1550870824,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 19:55:56 +0000 2020,1221159790338093056,1221159790338093056,"@BuBakes @OpenUniversity Mine are late nights rather than early mornings, often I keep going past midnight",False,"[25, 106]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2209507322428703e+18,1220950732242870273,2673824850.0,2673824850,BuBakes,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'BuBakes', 'name': 'BuBakes (Liz Fox) 🧁✏️', 'id': 2673824850, 'id_str': '2673824850', 'indices': [0, 8]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [9, 24]}]",[],en,recent,49699180,49699180,Louise Randall,Louiseiw,"Ryde, England",OU student. Married to my soul mate. Love family. Love Jesus. Love music,,,[],False,103,154,1,Mon Jun 22 17:33:20 +0000 2009,3264,,,False,False,1777,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1159858405567291398/RzlCmb-B_normal.jpg,https://pbs.twimg.com/profile_images/1159858405567291398/RzlCmb-B_normal.jpg,https://pbs.twimg.com/profile_banners/49699180/1525882047,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 19:10:22 +0000 2020,1221148323672940545,1221148323672940545,@labtech666 @OpenUniversity Congratulations and the best of luck to you.,False,"[28, 72]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210275243665367e+18,1221027524366536706,209001642.0,209001642,labtech666,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'labtech666', 'name': 'Rachel Chilton', 'id': 209001642, 'id_str': '209001642', 'indices': [0, 11]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [12, 27]}]",[],en,recent,26698235,26698235,TecHKnow,TecHKnowUK,Northern Ireland,"Senior Science Technician, Newry in Northern Ireland, Owner & Admin over TecHKnow. DJ & Broadcaster on Local Community Radio. Not much time for anything else",http://t.co/AuDbPK3ypp,"[{'url': 'http://t.co/AuDbPK3ypp', 'expanded_url': 'http://www.techknow.org.uk', 'display_url': 'techknow.org.uk', 'indices': [0, 22]}]",[],False,729,182,14,Thu Mar 26 05:49:06 +0000 2009,653,,,True,False,5883,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/762631087591976960/rtETxyL9_normal.jpg,https://pbs.twimg.com/profile_images/762631087591976960/rtETxyL9_normal.jpg,https://pbs.twimg.com/profile_banners/26698235/1398938029,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Jan 25 16:09:10 +0000 2020,1221102720326754305,1221102720326754305,"RT @BissHollie: First tweet 👋🏼 I’m Hollie, I’m 21 and I’m an @OpenUniversity student currently studying E102 and DE100. I aim to work in th…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'BissHollie', 'name': 'Hollie Biss', 'id': 1170380789537738752, 'id_str': '1170380789537738752', 'indices': [3, 14]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [61, 76]}]",[],en,recent,1152554681178230785,1152554681178230785,CathyB,CathyB53147460,,"Teacher, student; mother, daughter; adult, child; middle-aged, young-at-heart. Oh, and Shakespeare ❤️ PhD research student at the OU and Shakespeare’s Globe 😎",,,[],False,210,385,2,Sat Jul 20 12:23:44 +0000 2019,7157,,,True,False,1865,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1152555074213879808/Ek9aDzYe_normal.jpg,https://pbs.twimg.com/profile_images/1152555074213879808/Ek9aDzYe_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,Fri Jan 24 14:03:01 +0000 2020,1.2207085867976417e+18,1220708586797641732,"First tweet 👋🏼 I’m Hollie, I’m 21 and I’m an @OpenUniversity student currently studying E102 and DE100. I aim to work in the field of young people’s mental health and I’m here to find and share resources!😊",False,"[0, 205]",[],[],"[{'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [45, 60]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.1703807895377388e+18,1170380789537738752,Hollie Biss,BissHollie,"South West, England","21 year old aspiring student welfare officer, who’s very passionate about child & adolescent mental health 🧠",,,[],False,46.0,92.0,0.0,Sat Sep 07 16:58:27 +0000 2019,16.0,,,False,False,15.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214869638800171017/c-_uWL87_normal.jpg,https://pbs.twimg.com/profile_images/1214869638800171017/c-_uWL87_normal.jpg,https://pbs.twimg.com/profile_banners/1170380789537738752/1579874005,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,2.0,42.0,False,False,en
16,Sat Jan 25 16:07:04 +0000 2020,1221102191320207366,1221102191320207366,@FinlayGames @OpenUniversity I only get 2 for this module and they are whole days so makes the travel more worthwhile.,False,"[29, 118]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211009231136932e+18,1221100923113693184,22299145.0,22299145,FinlayGames,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'FinlayGames', 'name': 'Finn (TheInFinncible) 🏳️\u200d🌈', 'id': 22299145, 'id_str': '22299145', 'indices': [0, 12]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [13, 28]}]",[],en,recent,880446669371977729,880446669371977729,Nicola,pemlife,"South East, England","OU student (Natural Science) 🔬
Animal lover 🐰
Book lover 📚",,,[],False,523,482,7,Thu Jun 29 15:23:38 +0000 2017,6905,,,False,False,5651,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1038691968405200896/iqySIrf2_normal.jpg,https://pbs.twimg.com/profile_images/1038691968405200896/iqySIrf2_normal.jpg,https://pbs.twimg.com/profile_banners/880446669371977729/1536478563,07575B,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sat Jan 25 16:02:01 +0000 2020,1221100923113693184,1221100923113693184,"@pemlife @OpenUniversity Blimey! Mind you, worth it right?!",False,"[25, 59]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210961135640125e+18,1221096113564012544,8.804466693719777e+17,880446669371977729,pemlife,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'pemlife', 'name': 'Nicola', 'id': 880446669371977729, 'id_str': '880446669371977729', 'indices': [0, 8]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [9, 24]}]",[],en,recent,22299145,22299145,Finn (TheInFinncible) 🏳️‍🌈,FinlayGames,"Eastbourne, England",Writer (Trans memoir in progress with @JKPGender). YouTuber. Blogger. @tedx Speaker. @OpenUniversity Ambassador & BA Hons Open Student. He/Him,https://t.co/VMdxvbH8OB,"[{'url': 'https://t.co/VMdxvbH8OB', 'expanded_url': 'https://linktr.ee/finntheinfinncible', 'display_url': 'linktr.ee/finntheinfinnc…', 'indices': [0, 23]}]",[],False,3365,3313,65,Sat Feb 28 21:45:48 +0000 2009,12907,,,True,False,13521,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1205862559611572225/mb8Zll9D_normal.jpg,https://pbs.twimg.com/profile_images/1205862559611572225/mb8Zll9D_normal.jpg,https://pbs.twimg.com/profile_banners/22299145/1578154016,0099B9,5ED4DC,95E8EC,3C3940,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sat Jan 25 15:42:54 +0000 2020,1221096113564012544,1221096113564012544,@FinlayGames @OpenUniversity Lucky yours are in Brighton. Mine are always Crawley 😒,False,"[29, 83]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221006719607767e+18,1221006719607767041,22299145.0,22299145,FinlayGames,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'FinlayGames', 'name': 'Finn (TheInFinncible) 🏳️\u200d🌈', 'id': 22299145, 'id_str': '22299145', 'indices': [0, 12]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [13, 28]}]",[],en,recent,880446669371977729,880446669371977729,Nicola,pemlife,"South East, England","OU student (Natural Science) 🔬
Animal lover 🐰
Book lover 📚",,,[],False,523,482,7,Thu Jun 29 15:23:38 +0000 2017,6905,,,False,False,5651,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1038691968405200896/iqySIrf2_normal.jpg,https://pbs.twimg.com/profile_images/1038691968405200896/iqySIrf2_normal.jpg,https://pbs.twimg.com/profile_banners/880446669371977729/1536478563,07575B,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sat Jan 25 14:26:28 +0000 2020,1221076876699099137,1221076876699099137,RT @Dr_JamesB: Enjoyable and interesting dinner with @OUstudents this evening. Great to celebrate @NotoriousCath presidency  and talk about…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'Dr_JamesB', 'name': '1r0n51d3', 'id': 304487067, 'id_str': '304487067', 'indices': [3, 13]}, {'screen_name': 'OUstudents', 'name': 'OU Students', 'id': 45616878, 'id_str': '45616878', 'indices': [53, 64]}, {'screen_name': 'NotoriousCath', 'name': 'Cath Brown 🌍', 'id': 960437511075049472, 'id_str': '960437511075049472', 'indices': [98, 112]}]",[],en,recent,778102762630475776,778102762630475776,Ivan Finney,finneyivan1963,"England, United Kingdom",Geology Books Music Travel Walking creating organic learning mayhem badminton cycling writing poetry science,,,[],False,201,835,4,Tue Sep 20 05:25:29 +0000 2016,27732,,,False,False,23644,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,19CF86,000000,000000,000000,False,True,False,True,False,False,False,none,,,,,,,,,,,Fri Jan 24 23:29:55 +0000 2020,1.220851250142511e+18,1220851250142511104,Enjoyable and interesting dinner with @OUstudents this evening. Great to celebrate @NotoriousCath presidency  and talk about how we can work with our students to make @OpenUniversity even better,False,"[0, 194]",[],[],"[{'screen_name': 'OUstudents', 'name': 'OU Students', 'id': 45616878, 'id_str': '45616878', 'indices': [38, 49]}, {'screen_name': 'NotoriousCath', 'name': 'Cath Brown 🌍', 'id': 960437511075049472, 'id_str': '960437511075049472', 'indices': [83, 97]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [167, 182]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,304487067.0,304487067,1r0n51d3,Dr_JamesB,Milton Keynes,"Chemist @OpenUniversity . Curious academic, Goon @SaintsRugby supporter Sailor on the Seas of Fate Fuimus",https://t.co/32wDHZt9ZK,"[{'url': 'https://t.co/32wDHZt9ZK', 'expanded_url': 'http://open.academia.edu/JamesBruce', 'display_url': 'open.academia.edu/JamesBruce', 'indices': [0, 23]}]",[],False,725.0,721.0,35.0,Tue May 24 16:04:14 +0000 2011,11379.0,,,True,False,10586.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/757883805235425280/S_CQD9JD_normal.jpg,https://pbs.twimg.com/profile_images/757883805235425280/S_CQD9JD_normal.jpg,https://pbs.twimg.com/profile_banners/304487067/1402560076,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,False,1.0,22.0,False,False,en
24,Sat Jan 25 12:32:27 +0000 2020,1221048182781743104,1221048182781743104,@nealio82 @OpenUniversity Lagrangian mechanics. Didn’t quite get to the quantum part. That’s next year.,False,"[26, 103]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210466143468257e+18,1221046614346825729,114500191.0,114500191,nealio82,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nealio82', 'name': 'Neal', 'id': 114500191, 'id_str': '114500191', 'indices': [0, 9]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [10, 25]}]",[],en,recent,17849232,17849232,Hannah Coleman,hannahvictorius,"Nottingham, England",Mature student @UoN_Physics with a @RSSNottingham past. Makes videos👇🏻Tweets mainly about #STEM and 🏃🏼‍♀️⚽️🏏. Fuelled by coffee and unrealistic ambitions.,https://t.co/srqa7k65GC,"[{'url': 'https://t.co/srqa7k65GC', 'expanded_url': 'https://www.youtube.com/hannahcolemanv', 'display_url': 'youtube.com/hannahcolemanv', 'indices': [0, 23]}]",[],False,1344,1133,37,Wed Dec 03 21:17:59 +0000 2008,17907,,,True,False,7050,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1078271473863790592/qWGmnbq4_normal.jpg,https://pbs.twimg.com/profile_images/1078271473863790592/qWGmnbq4_normal.jpg,https://pbs.twimg.com/profile_banners/17849232/1532255115,89C9FA,FFFFFF,252429,666666,True,False,False,False,False,False,False,none,50f2d0272381533f,https://api.twitter.com/1.1/geo/id/50f2d0272381533f.json,admin,East Midlands,"East Midlands, England",GB,United Kingdom,[],Polygon,"[[[-2.03410488116464, 51.9772264213839], [0.357994000542651, 51.9772264213839], [0.357994000542651, 53.6163564980205], [-2.03410488116464, 53.6163564980205]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sat Jan 25 12:26:13 +0000 2020,1221046614346825729,1221046614346825729,"@hannahvictorius @OpenUniversity Ah, see it just doesn’t work for me on the laptop. I need a physical device to keep me away from the computer while I’m reading.

What was the module? I saw some psis Hamilton functions on Twitter, so I’m guessing quantum mechanics?",False,"[33, 265]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210425206600294e+18,1221042520660029440,17849232.0,17849232,hannahvictorius,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'hannahvictorius', 'name': 'Hannah Coleman', 'id': 17849232, 'id_str': '17849232', 'indices': [0, 16]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [17, 32]}]",[],en,recent,114500191,114500191,Neal,nealio82,London,Full-time code writer. Part-time physics student. (10^0)x engineer,https://t.co/8a05ZSyWYm,"[{'url': 'https://t.co/8a05ZSyWYm', 'expanded_url': 'https://medium.com/@nealio82', 'display_url': 'medium.com/@nealio82', 'indices': [0, 23]}]",[],False,1025,1755,55,Mon Feb 15 16:37:12 +0000 2010,1871,,,True,False,10515,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/952191157953540096/2IHT8G5__normal.jpg,https://pbs.twimg.com/profile_images/952191157953540096/2IHT8G5__normal.jpg,https://pbs.twimg.com/profile_banners/114500191/1536752674,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sat Jan 25 12:14:02 +0000 2020,1221043550093266944,1221043550093266944,"On a serious note though, as a distance learning student with the @OpenUniversity it can be hard to get hold of certain resources. Particularly at post grad level in Classics when you need ancient texts like this. If you are struggling definitely sign up for #SCONUL access.",False,"[0, 274]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221042881223385e+18,1221042881223385088,9.474558191923732e+17,947455819192373249,classicalfix,,,,,False,0,2,False,False,en,"[{'text': 'SCONUL', 'indices': [259, 266]}]",[],"[{'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [66, 81]}]",[],en,recent,947455819192373249,947455819192373249,Tony Potter,classicalfix,United Kingdom,"Classicist & Ancient Historian. Postgraduate student at the Open University, currently researching Roman medicine. All opinions are my own.",https://t.co/e6TkjrB262,"[{'url': 'https://t.co/e6TkjrB262', 'expanded_url': 'http://www.classicalfix.com', 'display_url': 'classicalfix.com', 'indices': [0, 23]}]",[],False,648,721,9,Sun Dec 31 13:14:05 +0000 2017,2308,,,True,False,4415,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211639254222352384/vZjdisBS_normal.jpg,https://pbs.twimg.com/profile_images/1211639254222352384/vZjdisBS_normal.jpg,https://pbs.twimg.com/profile_banners/947455819192373249/1576609458,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,0a1a1c48f403f115,https://api.twitter.com/1.1/geo/id/0a1a1c48f403f115.json,city,Selby,"Selby, England",GB,United Kingdom,[],Polygon,"[[[-1.101559, 53.7692464], [-1.03903, 53.7692464], [-1.03903, 53.795707], [-1.101559, 53.795707]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sat Jan 25 12:09:57 +0000 2020,1221042520660029440,1221042520660029440,"@nealio82 @OpenUniversity I have it on my laptop and can’t stand the ticking. Seeing the countdown works though! 

Exam was a bit pants but as expected. Never enough time! Still enjoyed the module a lot.",False,"[26, 203]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210401744545178e+18,1221040174454517760,114500191.0,114500191,nealio82,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nealio82', 'name': 'Neal', 'id': 114500191, 'id_str': '114500191', 'indices': [0, 9]}, {'screen_name': 'OpenUniversity', 'name': 'The Open University', 'id': 14049061, 'id_str': '14049061', 'indices': [10, 25]}]",[],en,recent,17849232,17849232,Hannah Coleman,hannahvictorius,"Nottingham, England",Mature student @UoN_Physics with a @RSSNottingham past. Makes videos👇🏻Tweets mainly about #STEM and 🏃🏼‍♀️⚽️🏏. Fuelled by coffee and unrealistic ambitions.,https://t.co/srqa7k65GC,"[{'url': 'https://t.co/srqa7k65GC', 'expanded_url': 'https://www.youtube.com/hannahcolemanv', 'display_url': 'youtube.com/hannahcolemanv', 'indices': [0, 23]}]",[],False,1344,1133,37,Wed Dec 03 21:17:59 +0000 2008,17907,,,True,False,7050,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1078271473863790592/qWGmnbq4_normal.jpg,https://pbs.twimg.com/profile_images/1078271473863790592/qWGmnbq4_normal.jpg,https://pbs.twimg.com/profile_banners/17849232/1532255115,89C9FA,FFFFFF,252429,666666,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
